Comm_Round,Accuracy,F1,Precision,Binary Accuracy
0,0.59131,0.743171337,0.591306802,0.591306806
1,0.59131,0.743171337,0.591306802,0.591306806
2,0.94228,0.95243633,0.928782037,0.942280531
3,0.94454,0.954179783,0.93275587,0.944538534
4,0.94666,0.955799813,0.936955525,0.946655393
5,0.94849,0.957374752,0.937342785,0.948489964
6,0.94835,0.957402235,0.934348024,0.94834888
7,0.9523,0.960300681,0.945420907,0.95230031
8,0.95541,0.962762197,0.950884544,0.955404997
9,0.95668,0.963996716,0.947659673,0.956675112
10,0.96133,0.967589307,0.959193246,0.961332202
11,0.9643,0.970147493,0.959393232,0.964295805
12,0.96909,0.974122652,0.96466183,0.969093978
13,0.97093,0.975673122,0.965638149,0.970928609
14,0.97488,0.978944878,0.970450281,0.97488004
15,0.97417,0.978164897,0.978048199,0.97417444
16,0.98123,0.984085198,0.986801056,0.981230617
17,0.98081,0.983847981,0.979196217,0.980807245
18,0.98038,0.983513225,0.977599623,0.980383873
19,0.98052,0.983602662,0.979413157,0.980524957
20,0.98292,0.985586659,0.983828775,0.982924104
21,0.98377,0.986298106,0.984772781,0.983770788
22,0.98363,0.986246147,0.979971725,0.983629704
23,0.98335,0.985945688,0.984070376,0.983347416
24,0.98321,0.985855224,0.982003315,0.983206332
25,0.98024,0.983388704,0.977819726,0.980242729
26,0.98278,0.985503802,0.9813062,0.98278296
27,0.98391,0.986441484,0.983167378,0.983911932
28,0.98222,0.984996428,0.982889734,0.982218444
29,0.98151,0.984454729,0.978994572,0.981512845
30,0.98264,0.985410983,0.97948597,0.982641816
31,0.98377,0.986343665,0.981564642,0.983770788
32,0.98038,0.983509313,0.977824959,0.980383873
Average,0.948160606,0.961826289,0.94469267,0.948160692
Median,0.98024,0.983388704,0.977819726,0.980242729
Max,0.98391,0.986441484,0.986801056,0.983911932
median last 6,0.98151,0.984454729,0.97948597,0.981512845
