pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
2362053,1528081374.126832,e,tcp,192.168.100.150,8046.0,192.168.100.3,80.0,3,274,RST,1528081374.301513,239983,0.174681,0.174681,0.0,,,0.174681,0.174681,0.174681,,,,,2,1,214,60,11.449443,5.724721,0.0,1,DoS,TCP
2021828,1528081326.737256,e s,tcp,192.168.100.147,58992.0,192.168.100.7,80.0,4,616,REQ,1528081351.21601,161970,24.478754,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.122555,0.122555,0.0,1,DoS,TCP
842289,1526949242.997133,e,tcp,192.168.100.148,42640,192.168.100.3,23381,2,120,RST,1526949242.997658,22695,0.000525,0.000525,0.0,,,0.000525,0.000525,0.000525,,,,,1,1,60,60,1904.761963,0.0,0.0,1,Reconnaissance,Service_Scan
1778165,1526981363.223432,e,tcp,192.168.100.149,59172,192.168.100.3,995,3,180,RST,1526981363.223504,41416,7.2e-05,7.2e-05,0.0,,,7.2e-05,7.2e-05,7.2e-05,,,,,2,1,120,60,27777.777344,13888.888672,0.0,1,Reconnaissance,OS_Fingerprint
1983975,1528081324.720301,e s,tcp,192.168.100.148,37889,192.168.100.6,80,7,890,RST,1528081355.411373,124117,30.691072,0.035504,0.061203,,,0.177519,0.0,0.15686,,,,,5,2,770,120,0.195497,0.131001,0.052922,1,DoS,TCP
337554,1526880852.386321,e,tcp,192.168.100.150,56304,192.168.100.3,28358,2,120,RST,1526880852.408554,180847,0.022233,0.022233,0.0,,,0.022233,0.022233,0.022233,,,,,1,1,60,60,44.978184,0.0,0.0,1,Reconnaissance,Service_Scan
596830,1526898845.484692,e,tcp,192.168.100.150,54114,192.168.100.3,36199,2,120,RST,1526898845.511302,97512,0.02661,0.02661,0.0,,,0.02661,0.02661,0.02661,,,,,1,1,60,60,37.579857,0.0,0.0,1,Reconnaissance,Service_Scan
1088822,1526949406.162899,e,tcp,192.168.100.148,45068,192.168.100.3,1883,6,662,RST,1526949406.163052,269231,0.000153,0.000153,0.0,,,0.000153,0.000153,0.000153,,,,,3,3,456,206,32679.738281,13071.895508,13071.895508,1,Reconnaissance,Service_Scan
853119,1526949243.180792,e,tcp,192.168.100.147,47422,192.168.100.3,20685,2,120,RST,1526949243.181587,33525,0.000795,0.000795,0.0,,,0.000795,0.000795,0.000795,,,,,1,1,60,60,1257.861694,0.0,0.0,1,Reconnaissance,Service_Scan
940558,1526949247.434481,e,tcp,192.168.100.147,47422.0,192.168.100.3,20548.0,2,120,RST,1526949247.456311,120964,0.02183,0.02183,0.0,,,0.02183,0.02183,0.02183,,,,,1,1,60,60,45.808521,0.0,0.0,1,Reconnaissance,Service_Scan
866853,1526949243.513202,e,tcp,192.168.100.148,42640,192.168.100.3,44840,2,120,RST,1526949243.523149,47259,0.009947,0.009947,0.0,,,0.009947,0.009947,0.009947,,,,,1,1,60,60,100.532822,0.0,0.0,1,Reconnaissance,Service_Scan
1910715,1528081322.333667,e s,tcp,192.168.100.148,18346,192.168.100.6,80,8,950,RST,1528081353.833428,50857,31.499762,0.087652,0.10804,,,0.43826,0.0,0.264609,,,,,5,3,770,180,0.222224,0.127647,0.063514,1,DoS,TCP
622461,1526898847.160233,e,tcp,192.168.100.148,57184,192.168.100.3,30843,2,120,RST,1526898847.191408,123144,0.031175,0.031175,0.0,,,0.031175,0.031175,0.031175,,,,,1,1,60,60,32.076984,0.0,0.0,1,Reconnaissance,Service_Scan
100293,1526352653.397165,e,icmp,192.168.100.6,0x0303,192.168.100.149,0xdbe2,1,70,URP,1526352653.397165,9943,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,70,0,0.0,0.0,0.0,1,Reconnaissance,Service_Scan
307426,1526880849.469436,e,tcp,192.168.100.149,57044,192.168.100.3,15892,2,120,RST,1526880849.5024,150718,0.032964,0.032964,0.0,,,0.032964,0.032964,0.032964,,,,,1,1,60,60,30.336126,0.0,0.0,1,Reconnaissance,Service_Scan
2498489,1528081403.332735,e g,tcp,192.168.100.150,16687.0,192.168.100.3,80.0,9,822,RST,1528081453.31617,114257,49.983437,0.142439,0.004349,,,0.427318,0.13803,0.148357,,,,,6,3,642,180,0.160053,0.100033,0.040013,1,DoS,TCP
1311469,1526967372.07397,e,tcp,192.168.100.149,35063,192.168.100.3,16799,2,120,RST,1526967372.108434,167694,0.034464,0.034464,0.0,,,0.034464,0.034464,0.034464,,,,,1,1,60,60,29.015783,0.0,0.0,1,Reconnaissance,Service_Scan
1001904,1526949252.84354,e,tcp,192.168.100.150,49731,192.168.100.3,43438,2,120,RST,1526949252.884471,182311,0.040931,0.040931,0.0,,,0.040931,0.040931,0.040931,,,,,1,1,60,60,24.43136,0.0,0.0,1,Reconnaissance,Service_Scan
544343,1526898842.228769,e,tcp,192.168.100.149,40081,192.168.100.3,41722,2,120,RST,1526898842.23096,45025,0.002191,0.002191,0.0,,,0.002191,0.002191,0.002191,,,,,1,1,60,60,456.412628,0.0,0.0,1,Reconnaissance,Service_Scan
930888,1526949246.735949,e,tcp,192.168.100.148,42640,192.168.100.3,51910,2,120,RST,1526949246.776556,111294,0.040607,0.040607,0.0,,,0.040607,0.040607,0.040607,,,,,1,1,60,60,24.626295,0.0,0.0,1,Reconnaissance,Service_Scan
1422488,1526967553.955042,e g,tcp,192.168.100.149,54890,192.168.100.3,80,20,3083,RST,1526967662.943347,278741,108.988304,0.000375,7.5e-05,,,0.00075,0.0003,0.00045,,,,,12,8,1563,1520,0.174331,0.100928,0.064227,1,Reconnaissance,Service_Scan
