pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
6560726,1528082276.784211,e s,tcp,192.168.100.148,10037.0,192.168.100.7,80.0,4,616,REQ,1528082322.120886,124463,45.336674,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.066172,0.066172,0.0,1,DoS,TCP
6497263,1528082273.553393,e s,tcp,192.168.100.148,65012.0,192.168.100.7,80.0,4,616,REQ,1528082327.948926,61000,54.395535,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.055152,0.055152,0.0,1,DoS,TCP
8840944,1528082751.946498,e s,tcp,192.168.100.148,23145.0,192.168.100.5,80.0,7,1078,REQ,1528082798.282569,111287,46.336071,0.0,0.0,,,0.0,0.0,0.0,,,,,7,0,1078,0,0.129489,0.129489,0.0,1,DoS,TCP
8693042,1528082707.639934,e s,tcp,192.168.100.149,24293.0,192.168.100.7,80.0,5,770,REQ,1528082742.48166,225545,34.841724,0.0,0.0,,,0.0,0.0,0.0,,,,,5,0,770,0,0.114805,0.114805,0.0,1,DoS,TCP
7903680,1528082577.585753,e g,tcp,192.168.100.149,41900.0,192.168.100.3,80.0,9,822,RST,1528082626.58396,156613,48.998207,0.138193,0.012925,,,0.41458,0.126474,0.156201,,,,,6,3,642,180,0.163271,0.102045,0.040818,1,DoS,TCP
6600485,1528082281.035916,e s,tcp,192.168.100.147,6758.0,192.168.100.6,80.0,4,522,RST,1528082321.147692,164222,40.111774,0.015893,0.022477,,,0.04768,0.0,0.04768,,,,,3,1,462,60,0.074791,0.049861,0.0,1,DoS,TCP
8977064,1528082768.668722,e g,tcp,192.168.100.147,57862.0,192.168.100.3,80.0,6,548,RST,1528082795.811718,247407,27.142996,0.116471,0.005578,,,0.232941,0.110892,0.122049,,,,,4,2,428,120,0.18421,0.110526,0.036842,1,DoS,TCP
8087906,1528082633.124614,e,tcp,192.168.100.148,44202.0,192.168.100.7,80.0,1,154,REQ,1528082633.124614,78679,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,1,0,154,0,0.0,0.0,0.0,1,DoS,TCP
8862613,1528082753.598888,e s,tcp,192.168.100.148,28204.0,192.168.100.5,80.0,7,1078,REQ,1528082798.802134,132956,45.203247,0.0,0.0,,,0.0,0.0,0.0,,,,,7,0,1078,0,0.132734,0.132734,0.0,1,DoS,TCP
8571332,1528082695.97407,e s,tcp,192.168.100.148,6835.0,192.168.100.5,80.0,4,616,REQ,1528082742.508369,103835,46.534298,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.064469,0.064469,0.0,1,DoS,TCP
8616071,1528082699.355058,e g,tcp,192.168.100.147,14977.0,192.168.100.3,80.0,6,548,RST,1528082724.790534,148574,25.435476,0.162443,0.006102,,,0.324885,0.15634,0.168545,,,,,4,2,428,120,0.196576,0.117945,0.039315,1,DoS,TCP
8730173,1528082747.40774,e,tcp,192.168.100.147,7109.0,192.168.100.3,80.0,4,334,RST,1528082774.922914,516,27.515175,0.075212,0.075212,,,0.150424,0.0,0.150424,,,,,3,1,274,60,0.109031,0.072687,0.0,1,DoS,TCP
7962780,1528082584.43189,e s,tcp,192.168.100.150,9397.0,192.168.100.5,80.0,5,676,RST,1528082625.158319,215713,40.854488,0.032015,0.055452,,,0.12806,0.0,0.12806,,,,,4,1,616,60,0.097908,0.073662,0.0,1,DoS,TCP
6955356,1528082354.061357,e g,tcp,192.168.100.149,64913.0,192.168.100.3,80.0,6,548,RST,1528082380.860119,256931,26.798761,0.133401,0.024869,,,0.266802,0.108532,0.15827,,,,,4,2,428,120,0.186576,0.111945,0.037315,1,DoS,TCP
7377097,1528082459.514105,e s,tcp,192.168.100.150,18545.0,192.168.100.5,80.0,3,462,REQ,1528082500.884358,154352,41.370255,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.048344,0.048344,0.0,1,DoS,TCP
8461526,1528082664.92833,e,tcp,192.168.100.147,63789.0,192.168.100.3,80.0,3,274,RST,1528082665.109968,452299,0.181638,0.181638,0.0,,,0.181638,0.181638,0.181638,,,,,2,1,214,60,11.010912,5.505456,0.0,1,DoS,TCP
6414637,1528082230.131021,e s,tcp,192.168.100.150,21417.0,192.168.100.5,80.0,3,462,REQ,1528082263.471441,240535,33.34042,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.059987,0.059987,0.0,1,DoS,TCP
7029571,1528082389.570478,e s,tcp,192.168.100.150,42857.0,192.168.100.5,80.0,7,890,REQ,1528082446.323345,68986,56.752869,0.022606,0.028958,,,0.113029,0.0,0.069936,,,,,5,2,770,120,0.105722,0.070481,0.092042,1,DoS,TCP
