pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPsrcIP,TnBPDstIP,TnPPSrcIP,TnPPDstIP,TnPPerProto,TnPPerDport,avgPD,attack,category,subcategory 
175245,1526880842,e,tcp,192.168.100.148,40850,192.168.100.3,36819,2,120,RST,1526880842,18537,0.000025,0.000025,0,,,0.000025,0.000025,0.000025,,,,,1,1,60,60,40000,0,0,1953935,2819319,23253,36041,30865,7,80000,1,Reconnaissance,Service_Scan
2918697,1528081519,e s,tcp,192.168.100.147,27459.0,192.168.100.7,80.0,7,1078,REQ,1528081570,10125,51.392487,0,0,,,0,0,0,,,,,7,0,1078,0,0.116749,0.116749,0,1952496,1516534,23258,17448,30875,90683,0.136206679,1,DoS,TCP
842375,1526949243,e,tcp,192.168.100.148,42640,192.168.100.3,16599,2,120,RST,1526949243,22781,0.000445,0.000445,0,,,0.000445,0.000445,0.000445,,,,,1,1,60,60,2247.190918,0,0,1974550,2834967,23501,36077,30878,10,4494.382022,1,Reconnaissance,Service_Scan
2234113,1528081359,e s,tcp,192.168.100.147,18077.0,192.168.100.7,80.0,5,770,REQ,1528081381,112043,22.374146,1.030892,1.785557,,,4.123566,0,4.123566,,,,,5,0,770,0,0.178778,0.178778,0,1941388,1529680,23064,17461,30951,90643,0.223472217,1,DoS,TCP
1697918,1526963502,e d,tcp,192.168.100.149,58700,192.168.100.7,8009,8,562,FIN,1526963508,52215,6.039521,0.017421,0.015889,,,0.034841,0.001532,0.033309,,,,,4,4,290,272,1.159032,0.496728,0.496728,1953872,1481535,23491,16868,30827,3,1.324608359,1,Reconnaissance,OS_Fingerprint
1442036,1526967626,e,tcp,192.168.100.147,47688.0,192.168.100.3,80.0,10,1675,RST,1526967626,298401,0.000288,0.000288,0,,,0.000288,0.000288,0.000288,,,,,6,4,915,760,31249.99805,17361.11133,10416.66602,1946185,2838550,23079,36147,30855,90599,34722.22222,1,Reconnaissance,Service_Scan
2000047,1528081326,e s,tcp,192.168.100.149,30213.0,192.168.100.5,80.0,4,616,REQ,1528081353,140189,27.329962,0,0,,,0,0,0,,,,,4,0,616,0,0.10977,0.10977,0,1915638,2019862,23169,22291,30903,90652,0.146359516,1,DoS,TCP
2827354,1528081473,e s,tcp,192.168.100.148,50017.0,192.168.100.6,80.0,5,582,RST,1528081511,180945,38.564896,0.030673,0.025642,,,0.09202,0,0.062763,,,,,3,2,462,120,0.103721,0.0519,0.025973,1951978,1381313,23132,16544,30825,90614,0.129651588,1,DoS,TCP
2760923,1528081466,e s,tcp,192.168.100.147,45536.0,192.168.100.7,80.0,5,770,REQ,1528081509,114514,43.54813,0,0,,,0,0,0,,,,,5,0,770,0,0.091852,0.091852,0,1943682,1489549,23063,16914,30802,90650,0.114815493,1,DoS,TCP
2363036,1528081375,e,tcp,192.168.100.150,9059.0,192.168.100.3,80.0,3,274,RST,1528081375,240966,0.17226,0.17226,0,,,0.17226,0.17226,0.17226,,,,,2,1,214,60,11.610356,5.805178,0,1907440,2816750,22486,35954,30881,90655,17.41553466,1,DoS,TCP
851341,1526949243,e,tcp,192.168.100.147,47422,192.168.100.3,15412,2,120,RST,1526949243,31747,0.000774,0.000774,0,,,0.000774,0.000774,0.000774,,,,,1,1,60,60,1291.989624,0,0,1947966,2829446,23292,36096,30946,2,2583.979328,1,Reconnaissance,Service_Scan
2240299,1528081359,e s,tcp,192.168.100.148,10426.0,192.168.100.6,80.0,6,830,REQ,1528081385,118229,26.625874,0.044672,0.089344,,,0.223359,0,0.223359,,,,,5,1,770,60,0.187787,0.15023,0,1945423,1385878,22970,16507,30924,90549,0.225344715,1,DoS,TCP
2690824,1528081461,e s,tcp,192.168.100.147,2775.0,192.168.100.7,80.0,7,1078,REQ,1528081512,44415,50.705421,0.752984,1.683724,,,4.517906,0,4.517906,,,,,7,0,1078,0,0.118331,0.118331,0,1964139,1502349,23313,17170,30970,90626,0.1380523,1,DoS,TCP
1042361,1526949258,e,tcp,192.168.100.149,41607,192.168.100.3,64496,2,120,RST,1526949258,222769,0.033047,0.033047,0,,,0.033047,0.033047,0.033047,,,,,1,1,60,60,30.259932,0,0,1896602,2805087,22917,35715,30953,2,60.51986565,1,Reconnaissance,Service_Scan
450405,1526884679,e,tcp,192.168.100.148,5602.0,192.168.100.3,3311,2,120,RST,1526884679,3827,0.000048,0.000048,0,,,0.000048,0.000048,0.000048,,,,,1,1,60,60,20833.33203,0,0,1974585,2800258,23494,35577,31038,5,41666.66667,1,Reconnaissance,Service_Scan
2893313,1528081482,e s,tcp,192.168.100.148,14899.0,192.168.100.6,80.0,3,368,RST,1528081501,246904,19.177757,0.017859,0.017859,,,0.035718,0,0.035718,,,,,2,1,308,60,0.104287,0.052241,0,1949540,1360393,23168,16217,31004,90541,0.156431224,1,DoS,TCP
1572774,1526894262,e,tcp,192.168.100.149,41541,192.168.100.7,900,2,120,RST,1526894262,17800,0.000494,0.000494,0,,,0.000494,0.000494,0.000494,,,,,1,1,60,60,2024.291626,0,0,1931673,1506228,23261,17160,31008,4,4048.582996,1,Reconnaissance,OS_Fingerprint
167976,1526880842,e,tcp,192.168.100.148,40850,192.168.100.3,55342,2,120,RST,1526880842,11268,0.000017,0.000017,0,,,0.000017,0.000017,0.000017,,,,,1,1,60,60,58823.52734,0,0,1943909,2814529,23112,35884,31110,2,117647.0588,1,Reconnaissance,Service_Scan
2000960,1528081326,e s,tcp,192.168.100.147,53660.0,192.168.100.7,80.0,4,616,REQ,1528081351,141102,25.082285,0,0,,,0,0,0,,,,,4,0,616,0,0.119606,0.119606,0,1965460,1490969,23427,17059,30955,90567,0.159475104,1,DoS,TCP
336108,1526880852,e,tcp,192.168.100.147,59460,192.168.100.3,8481,2,120,RST,1526880852,179401,0.021557,0.021557,0,,,0.021557,0.021557,0.021557,,,,,1,1,60,60,46.388645,0,0,1949405,2827888,23123,36168,31040,2,92.77728812,1,Reconnaissance,Service_Scan
2913462,1528081519,e s,tcp,192.168.100.147,24862.0,192.168.100.7,80.0,7,1078,REQ,1528081570,4890,50.987988,0,0,,,0,0,0,,,,,7,0,1078,0,0.117675,0.117675,0,1937002,1524321,22990,17581,31068,90567,0.137287237,1,DoS,TCP
1251256,1526967367,e,tcp,192.168.100.150,47095,192.168.100.3,42277,2,120,RST,1526967367,107479,0.013056,0.013056,0,,,0.013056,0.013056,0.013056,,,,,1,1,60,60,76.59314,0,0,1906655,2808489,22568,35891,31012,2,153.1862745,1,Reconnaissance,Service_Scan
1153104,1526967363,e,tcp,192.168.100.147,52071.0,192.168.100.3,17264.0,2,120,RST,1526967363,9326,0.000097,0.000097,0,,,0.000097,0.000097,0.000097,,,,,1,1,60,60,10309.27832,0,0,1909285,2837809,22642,36265,31128,2,20618.5567,1,Reconnaissance,Service_Scan
1016239,1526949254,e,tcp,192.168.100.149,41607,192.168.100.3,33483,2,120,RST,1526949254,196646,0.053384,0.053384,0,,,0.053384,0.053384,0.053384,,,,,1,1,60,60,18.732204,0,0,1919586,2831674,22946,36125,31074,2,37.46440881,1,Reconnaissance,Service_Scan
2270623,1528081359,e s,tcp,192.168.100.148,24242.0,192.168.100.6,80.0,6,830,REQ,1528081389,148553,29.260345,0.084942,0.169885,,,0.424712,0,0.424712,,,,,5,1,770,60,0.17088,0.136704,0,1924066,1383115,22883,16420,31061,90586,0.205055682,1,DoS,TCP
1520563,1526877383,e,tcp,192.168.100.148,61161,192.168.100.3,5922,2,120,RST,1526877383,1489,0.000122,0.000122,0,,,0.000122,0.000122,0.000122,,,,,1,1,60,60,8196.72168,0,0,1954281,2831446,23315,36248,31052,11,16393.44262,1,Reconnaissance,OS_Fingerprint
