pkSeqID,flgs,proto,sport,dport,pkts,bytes,state,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,subcategory 
1,1.0,3,0.0,0.0,4,240,1,9,1195.996582,6e-06,2e-06,1.1e-05,4e-06,7e-06,2,2,120,120,0.002508,0.000836,0.000836,0,0
2,1.0,2,139.0,139.0,10,680,1,10,1453.945923,2.8e-05,8e-06,0.000138,2.2e-05,4.2e-05,5,5,350,330,0.00619,0.002751,0.002751,0,0
3,1.0,1,51838.0,51838.0,2,180,1,11,0.048565,0.048565,0.0,0.048565,0.048565,0.048565,1,1,90,90,20.59096,0.0,0.0,0,0
4,1.0,3,0.0,0.0,10,510,1,12,1454.080322,0.000238,2.2e-05,0.001189,0.000199,0.000261,5,5,210,300,0.006189,0.002751,0.002751,0,0
5,1.0,1,58999.0,58999.0,4,630,1,14,569.93396,0.098505,0.08015,0.197011,0.018356,0.178655,2,2,174,456,0.005264,0.001755,0.001755,0,0
6,1.0,3,0.0,0.0,2,120,1,15,0.000367,0.000367,0.0,0.000367,0.000367,0.000367,1,1,60,60,2724.795654,0.0,0.0,0,0
7,1.0,3,0.0,0.0,4,240,1,16,569.855957,0.000122,2.5e-05,0.000243,9.7e-05,0.000146,2,2,120,120,0.005264,0.001755,0.001755,0,0
8,1.0,1,58360.0,58360.0,2,172,2,18,2.500101,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399984,0.399984,0.0,0,0
9,1.0,1,37214.0,37214.0,2,172,2,41,2.501101,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399824,0.399824,0.0,0,0
10,1.0,3,0.0,0.0,6,360,1,65,1152.256592,9.1e-05,1.4e-05,0.000273,7.5e-05,0.000109,3,3,180,180,0.004339,0.001736,0.001736,0,0
11,1.0,1,138.0,138.0,4,1086,2,104,728.37085,7.7e-05,1.6e-05,0.000154,6.1e-05,9.3e-05,4,0,1086,0,0.004119,0.004119,0.0,0,0
12,1.0,1,57950.0,57950.0,2,172,1,107,0.007523,0.007523,0.0,0.007523,0.007523,0.007523,1,1,86,86,132.925705,0.0,0.0,0,0
1013,1.0,1,36138.0,36138.0,2,172,2,63,2.501218,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399805,0.399805,0.0,0,0
1020,1.0,3,0.0,0.0,6,360,1,13,1253.63269,0.000144,2.6e-05,0.000432,0.000115,0.000179,3,3,180,180,0.003988,0.001595,0.001595,0,0
1021,1.0,1,34295.0,34295.0,2,172,1,1110,0.007698,0.007698,0.0,0.007698,0.007698,0.007698,1,1,86,86,129.90387,0.0,0.0,0,0
2028,1.0,1,43735.0,43735.0,2,172,2,106,2.501009,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399839,0.399839,0.0,0,0
2029,1.0,3,0.0,0.0,6,360,1,2105,1153.024658,0.000129,5e-05,0.000387,6.2e-05,0.000183,3,3,180,180,0.004336,0.001735,0.001735,0,0
2030,1.0,1,35430.0,35430.0,2,172,1,2106,0.007226,0.007226,0.0,0.007226,0.007226,0.007226,1,1,86,86,138.389145,0.0,0.0,0,0
3037,1.0,3,0.0,0.0,6,360,1,3081,1153.536621,0.000144,1.9e-05,0.000431,0.000127,0.00017,3,3,180,180,0.004334,0.001734,0.001734,0,0
3038,1.0,1,8612.0,8612.0,2,120,2,3082,0.01005,0.01005,0.0,0.01005,0.01005,0.01005,2,0,120,0,99.502487,99.502487,0.0,0,0
3039,1.0,1,8612.0,8612.0,2,120,2,3083,0.010045,0.010045,0.0,0.010045,0.010045,0.010045,2,0,120,0,99.55201,99.55201,0.0,0,0
3040,1.0,1,8612.0,8612.0,2,156,2,3084,0.010024,0.010024,0.0,0.010024,0.010024,0.010024,2,0,156,0,99.760574,99.760574,0.0,0,0
3041,1.0,1,8612.0,8612.0,2,156,2,3085,0.010023,0.010023,0.0,0.010023,0.010023,0.010023,2,0,156,0,99.770531,99.770531,0.0,0,0
3049,1.0,1,60865.0,60865.0,2,172,1,3089,0.007666,0.007666,0.0,0.007666,0.007666,0.007666,1,1,86,86,130.446121,0.0,0.0,0,0
4050,1.0,1,56155.0,56155.0,1,60,2,4081,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,0,0
4057,1.0,1,56854.0,56854.0,1,79,2,4094,0.0,0.0,0.0,0.0,0.0,0.0,1,0,79,0,0.0,0.0,0.0,0,0
4113,1.0,1,58610.0,58610.0,2,172,2,4123,2.500902,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399856,0.399856,0.0,0,0
4115,1.0,1,35915.0,35915.0,2,172,2,4126,2.500109,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399983,0.399983,0.0,0,0
4117,1.0,1,33862.0,33862.0,2,172,2,4134,2.501172,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399813,0.399813,0.0,0,0
4118,1.0,1,52938.0,52938.0,2,172,1,4139,0.00725,0.00725,0.0,0.00725,0.00725,0.00725,1,1,86,86,137.931046,0.0,0.0,0,0
4164,1.0,1,59519.0,59519.0,2,172,1,4185,0.007168,0.007168,0.0,0.007168,0.007168,0.007168,1,1,86,86,139.508926,0.0,0.0,0,0
4193,1.0,1,57830.0,57830.0,2,172,2,4137,2.500985,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399842,0.399842,0.0,0,0
4220,1.0,1,52865.0,52865.0,2,172,1,4241,0.00743,0.00743,0.0,0.00743,0.00743,0.00743,1,1,86,86,134.589493,0.0,0.0,0,0
4287,1.0,1,52216.0,52216.0,2,172,1,4308,0.00745,0.00745,0.0,0.00745,0.00745,0.00745,1,1,86,86,134.228195,0.0,0.0,0,0
4335,1.0,1,80.0,80.0,29726,28543568,2,3,1685.706909,4.947334,0.231518,1662.304321,0.710964,4.991788,29726,0,28543568,0,17.633553,17.633553,0.0,0,0
4336,1.0,2,80.0,80.0,30157,28898696,1,4,1685.706909,4.947345,0.231582,1662.307983,0.710952,4.991786,30157,0,28898696,0,17.889231,17.889231,0.0,0,0
4337,1.0,2,80.0,80.0,10056,2976576,1,5,1686.122192,4.832168,0.230037,1623.608521,0.655978,4.999866,10056,0,2976576,0,5.963387,5.963387,0.0,0,0
4338,1.0,1,365.0,365.0,16326,979560,2,6,1685.973267,4.893885,0.231947,1644.345215,0.655978,4.999755,16326,0,979560,0,9.682835,9.682835,0.0,0,0
4340,1.0,2,0.0,0.0,18431,17131488,1,7,1685.80896,4.898582,0.235357,1645.92334,0.598172,4.999866,18431,0,17131488,0,10.932437,10.932437,0.0,0,0
4343,1.0,2,59552.0,59552.0,3018,682915,1,8,1679.588989,3.947982,1.272364,1314.677856,1.51683,4.999982,1509,1509,583321,99594,1.796273,0.897839,0.897839,0,0
4528,7.0,2,80.0,80.0,59453,60884536,1,1,1685.706909,4.947914,0.228494,1662.499146,0.768694,4.999863,29727,29726,28717341,32167195,35.268291,17.634146,17.633553,0,0
4529,1.0,1,3456.0,3456.0,59452,59114121,1,2,1685.706909,4.947584,0.231615,1662.388062,0.710969,4.999863,29726,29726,30347258,28766863,35.267696,17.633553,17.633553,0,0
6609,1.0,1,15726.0,15726.0,2,333,1,6740,0.215891,0.215891,0.0,0.215891,0.215891,0.215891,1,1,98,235,4.631967,0.0,0.0,0,0
6610,1.0,1,13392.0,13392.0,2,366,1,6741,0.27849,0.27849,0.0,0.27849,0.27849,0.27849,1,1,98,268,3.590793,0.0,0.0,0,0
6617,1.0,1,52067.0,52067.0,2,1295,1,6748,0.031651,0.031651,0.0,0.031651,0.031651,0.031651,1,1,82,1213,31.594578,0.0,0.0,0,0
6618,1.0,1,14949.0,14949.0,2,1209,1,6749,0.031568,0.031568,0.0,0.031568,0.031568,0.031568,1,1,70,1139,31.67765,0.0,0.0,0,0
6619,1.0,1,5167.0,5167.0,2,885,1,6750,0.164368,0.164368,0.0,0.164368,0.164368,0.164368,1,1,82,803,6.083909,0.0,0.0,0,0
6622,1.0,1,5720.0,5720.0,2,323,1,6753,0.291631,0.291631,0.0,0.291631,0.291631,0.291631,1,1,93,230,3.428991,0.0,0.0,0,0
6625,1.0,1,56746.0,56746.0,2,419,1,6756,0.009295,0.009295,0.0,0.009295,0.009295,0.009295,1,1,93,326,107.584724,0.0,0.0,0,0
6630,1.0,1,34560.0,34560.0,2,1290,1,6761,0.016084,0.016084,0.0,0.016084,0.016084,0.016084,1,1,81,1209,62.173588,0.0,0.0,0,0
6631,1.0,1,49393.0,49393.0,2,883,1,6762,0.16424,0.16424,0.0,0.16424,0.16424,0.16424,1,1,81,802,6.088651,0.0,0.0,0,0
7166,1.0,2,56312.0,56312.0,32,6689,3,6765,61.740784,0.292655,0.331883,2.048587,0.15452,1.105515,18,14,2361,4328,0.502099,0.275345,0.210558,0,0
7645,1.0,1,138.0,138.0,2,500,2,7836,900.022827,0.0,0.0,0.0,0.0,0.0,2,0,500,0,0.001111,0.001111,0.0,0,0
8486,1.0,1,18879.0,18879.0,2,201,1,8728,0.180337,0.180337,0.0,0.180337,0.180337,0.180337,1,1,98,103,5.545174,0.0,0.0,0,0
8487,1.0,1,65040.0,65040.0,2,1301,1,8729,0.015493,0.015493,0.0,0.015493,0.015493,0.015493,1,1,85,1216,64.54528,0.0,0.0,0,0
8488,1.0,1,36332.0,36332.0,2,1401,1,8730,0.01513,0.01513,0.0,0.01513,0.01513,0.01513,1,1,70,1331,66.093849,0.0,0.0,0,0
8489,1.0,1,3144.0,3144.0,2,891,1,8731,0.164297,0.164297,0.0,0.164297,0.164297,0.164297,1,1,85,806,6.086538,0.0,0.0,0,0
9004,1.0,2,58240.0,58240.0,40,7431,3,8735,171.097824,0.103549,0.13648,0.414195,0.006026,0.338744,21,19,2996,4435,0.22794,0.116892,0.105203,0,0
9021,1.0,1,5353.0,5353.0,1,107,2,9298,0.0,0.0,0.0,0.0,0.0,0.0,1,0,107,0,0.0,0.0,0.0,0,0
9022,1.0,1,5353.0,5353.0,1,87,2,9299,0.0,0.0,0.0,0.0,0.0,0.0,1,0,87,0,0.0,0.0,0.0,0,0
9345,1.0,1,5353.0,5353.0,1,107,2,9639,0.0,0.0,0.0,0.0,0.0,0.0,1,0,107,0,0.0,0.0,0.0,0,0
9346,1.0,1,5353.0,5353.0,1,87,2,9640,0.0,0.0,0.0,0.0,0.0,0.0,1,0,87,0,0.0,0.0,0.0,0,0
11109,1.0,1,5353.0,5353.0,1,87,2,11519,0.0,0.0,0.0,0.0,0.0,0.0,1,0,87,0,0.0,0.0,0.0,0,0
11110,1.0,1,5353.0,5353.0,1,107,2,11520,0.0,0.0,0.0,0.0,0.0,0.0,1,0,107,0,0.0,0.0,0.0,0,0
11706,1.0,1,53571.0,53571.0,2,180,1,12151,0.048705,0.048705,0.0,0.048705,0.048705,0.048705,1,1,90,90,20.531773,0.0,0.0,0,0
11715,1.0,1,37024.0,37024.0,2,180,1,12162,0.048645,0.048645,0.0,0.048645,0.048645,0.048645,1,1,90,90,20.557096,0.0,0.0,0,0
12070,1.0,4,133.0,133.0,1,70,4,12539,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,0,0
12346,1.0,1,38810.0,38810.0,2,180,1,12832,0.00697,0.00697,0.0,0.00697,0.00697,0.00697,1,1,90,90,143.472031,0.0,0.0,0,0
12562,1.0,1,45057.0,45057.0,2,180,1,13060,0.223549,0.223549,0.0,0.223549,0.223549,0.223549,1,1,90,90,4.473292,0.0,0.0,0,0
12563,1.0,3,0.0,0.0,2,102,1,13062,1.1e-05,1.1e-05,0.0,1.1e-05,1.1e-05,1.1e-05,1,1,60,42,90909.09375,0.0,0.0,0,0
12608,1.0,3,0.0,0.0,2,102,1,13109,0.000251,0.000251,0.0,0.000251,0.000251,0.000251,1,1,42,60,3984.063965,0.0,0.0,0,0
13934,1.0,1,50232.0,50232.0,1,88,2,14518,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,0,0
13943,1.0,1,40285.0,40285.0,1,88,2,14527,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,0,0
13949,1.0,1,59441.0,59441.0,1,88,2,14533,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,0,0
13952,1.0,1,33816.0,33816.0,1,83,2,14536,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,0,0
13956,1.0,1,57131.0,57131.0,1,83,2,14541,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,0,0
13960,1.0,1,33956.0,33956.0,1,60,2,14545,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,0,0
13961,1.0,1,35795.0,35795.0,1,88,2,14546,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,0,0
13964,1.0,1,50421.0,50421.0,1,60,2,14550,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,0,0
13965,1.0,1,51781.0,51781.0,1,83,2,14551,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,0,0
13969,1.0,1,39502.0,39502.0,1,60,2,14556,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,0,0
13970,1.0,1,54674.0,54674.0,1,83,2,14557,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,0,0
13974,1.0,1,44248.0,44248.0,1,60,2,14561,0.0,0.0,0.0,0.0,0.0,0.0,1,0,60,0,0.0,0.0,0.0,0,0
13975,1.0,1,32985.0,32985.0,1,88,2,14562,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,0,0
13978,1.0,1,38008.0,38008.0,1,88,2,14565,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,0,0
13981,1.0,1,53917.0,53917.0,1,88,2,14568,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,0,0
13984,1.0,1,40086.0,40086.0,1,83,2,14571,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,0,0
13987,1.0,1,51193.0,51193.0,1,83,2,14574,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,0,0
13990,1.0,1,35790.0,35790.0,1,88,2,14579,0.0,0.0,0.0,0.0,0.0,0.0,1,0,88,0,0.0,0.0,0.0,0,0
13995,1.0,1,57854.0,57854.0,2,172,2,14578,2.501117,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399821,0.399821,0.0,0,0
13996,1.0,1,41399.0,41399.0,1,83,2,14587,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,0,0
14028,1.0,1,43307.0,43307.0,2,172,2,14585,2.500041,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399993,0.399993,0.0,0,0
14029,1.0,1,42395.0,42395.0,2,172,2,14622,2.501191,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.39981,0.39981,0.0,0,0
14030,1.0,1,46227.0,46227.0,1,83,2,14624,0.0,0.0,0.0,0.0,0.0,0.0,1,0,83,0,0.0,0.0,0.0,0,0
14044,1.0,1,49402.0,49402.0,2,172,1,14639,0.007175,0.007175,0.0,0.007175,0.007175,0.007175,1,1,86,86,139.372818,0.0,0.0,0,0
15071,1.0,1,40567.0,40567.0,2,172,1,15672,0.007346,0.007346,0.0,0.007346,0.007346,0.007346,1,1,86,86,136.12851,0.0,0.0,0,0
16143,1.0,1,40542.0,40542.0,2,172,2,15663,2.500008,0.0,0.0,0.0,0.0,0.0,2,0,172,0,0.399999,0.399999,0.0,0,0
16275,1.0,1,47113.0,47113.0,2,172,1,16883,0.006982,0.006982,0.0,0.006982,0.006982,0.006982,1,1,86,86,143.225433,0.0,0.0,0,0
17511,1.0,1,35391.0,35391.0,2,172,1,18127,0.006987,0.006987,0.0,0.006987,0.006987,0.006987,1,1,86,86,143.12294,0.0,0.0,0,0
21597,1.0,1,56784.0,56784.0,2,233,1,22198,0.052971,0.052971,0.0,0.052971,0.052971,0.052971,1,1,79,154,18.878254,0.0,0.0,0,0
21599,1.0,3,0.0,0.0,2,120,1,22200,0.000134,0.000134,0.0,0.000134,0.000134,0.000134,1,1,60,60,7462.686523,0.0,0.0,0,0
21600,1.0,1,58787.0,58787.0,2,233,1,22201,0.00019,0.00019,0.0,0.00019,0.00019,0.00019,1,1,79,154,5263.157715,0.0,0.0,0,0
21702,1.0,3,0.0,0.0,2,120,1,22303,7.8e-05,7.8e-05,0.0,7.8e-05,7.8e-05,7.8e-05,1,1,60,60,12820.513672,0.0,0.0,0,0
22871,1.0,2,49859.0,49859.0,97,29344,1,22548,46.375206,1.528159,1.349996,3.056319,0.178163,2.878156,46,51,5843,23501,2.070072,0.970346,1.078162,0,0
23263,1.0,1,5353.0,5353.0,1,183,2,23867,0.0,0.0,0.0,0.0,0.0,0.0,1,0,183,0,0.0,0.0,0.0,0,0
23272,1.0,1,5353.0,5353.0,1,203,2,23876,0.0,0.0,0.0,0.0,0.0,0.0,1,0,203,0,0.0,0.0,0.0,0,0
24313,1.0,2,0.0,0.0,16225,15080400,1,3,1479.64624,4.945239,0.026395,1458.845581,4.889463,4.997683,16225,0,15080400,0,10.964783,10.964783,0.0,0,0
24314,1.0,1,365.0,365.0,14751,885060,2,4,1479.699585,4.909315,0.012232,1448.247803,4.89378,4.999954,14751,0,885060,0,9.96824,9.96824,0.0,0,0
24315,7.0,2,80.0,80.0,53090,54564495,1,5,1479.382935,4.962064,0.006599,1463.80896,4.947089,4.99596,26545,26545,25806623,28757872,35.885906,17.942616,17.942616,0,0
24316,1.0,1,3456.0,3456.0,53092,53005937,1,6,1479.436279,4.962133,0.009367,1463.829224,4.947263,4.999143,26546,26546,27205854,25800083,35.885967,17.942644,17.942644,0,0
24317,1.0,2,80.0,80.0,8850,2619600,1,7,1479.542847,4.855529,0.009396,1432.380981,4.839091,4.932051,8850,0,2619600,0,5.980901,5.980901,0.0,0,0
24324,1.0,2,59552.0,59552.0,2378,579147,1,14,1478.75647,3.806379,1.190139,1100.043457,0.148573,4.999984,1190,1188,500739,78408,1.607432,0.804054,0.802701,0,0
24334,1.0,1,80.0,80.0,26546,25390827,2,1,1479.433105,4.961647,0.007576,1463.685913,4.946121,4.998017,26546,0,25390827,0,17.942684,17.942684,0.0,0,0
24335,1.0,2,80.0,80.0,26546,25437515,1,2,1479.433105,4.96171,0.007897,1463.704468,4.946117,4.998015,26546,0,25437515,0,17.942684,17.942684,0.0,0,0
24500,1.0,1,58999.0,58999.0,2,190,1,581,0.144049,0.144049,0.0,0.144049,0.144049,0.144049,1,1,87,103,6.942082,0.0,0.0,0,0
24502,1.0,3,0.0,0.0,2,120,1,583,0.000411,0.000411,0.0,0.000411,0.000411,0.000411,1,1,60,60,2433.090088,0.0,0.0,0,0
24805,1.0,1,68.0,68.0,2,684,1,903,0.003554,0.003554,0.0,0.003554,0.003554,0.003554,1,1,342,342,281.373108,0.0,0.0,0,0
24821,1.0,3,0.0,0.0,4,240,1,599,100.864304,7.9e-05,1.8e-05,0.000157,6.1e-05,9.6e-05,2,2,120,120,0.029743,0.009914,0.009914,0,0
25104,1.0,1,35541.0,35541.0,2,180,1,1217,0.049033,0.049033,0.0,0.049033,0.049033,0.049033,1,1,90,90,20.394428,0.0,0.0,0,0
25120,1.0,3,0.0,0.0,2,120,1,1234,0.000107,0.000107,0.0,0.000107,0.000107,0.000107,1,1,60,60,9345.793945,0.0,0.0,0,0
25176,1.0,4,133.0,133.0,1,70,4,1294,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,0,0
25566,1.0,4,133.0,133.0,1,70,4,1710,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,0,0
25822,1.0,3,0.0,0.0,2,120,1,1980,0.000103,0.000103,0.0,0.000103,0.000103,0.000103,1,1,60,60,9708.738281,0.0,0.0,0,0
25836,1.0,1,138.0,138.0,2,500,2,1997,900.018799,0.0,0.0,0.0,0.0,0.0,2,0,500,0,0.001111,0.001111,0.0,0,0
26109,1.0,1,15681.0,15681.0,2,201,1,2287,0.14349,0.14349,0.0,0.14349,0.14349,0.14349,1,1,98,103,6.969127,0.0,0.0,0,0
26111,1.0,1,19729.0,19729.0,2,1301,1,2289,0.015746,0.015746,0.0,0.015746,0.015746,0.015746,1,1,85,1216,63.508194,0.0,0.0,0,0
26112,1.0,1,52337.0,52337.0,2,1209,1,2290,0.015563,0.015563,0.0,0.015563,0.015563,0.015563,1,1,70,1139,64.254967,0.0,0.0,0,0
26113,1.0,1,2293.0,2293.0,2,891,1,2291,0.16751,0.16751,0.0,0.16751,0.16751,0.16751,1,1,85,806,5.969793,0.0,0.0,0,0
26626,1.0,2,58253.0,58253.0,40,7467,3,2292,170.374344,0.092371,0.121777,0.369485,0.00594,0.302119,22,18,3063,4404,0.228908,0.123258,0.09978,0,0
27431,1.0,1,5353.0,5353.0,1,180,2,3686,0.0,0.0,0.0,0.0,0.0,0.0,1,0,180,0,0.0,0.0,0.0,0,0
27432,1.0,1,5353.0,5353.0,1,160,2,3687,0.0,0.0,0.0,0.0,0.0,0.0,1,0,160,0,0.0,0.0,0.0,0,0
27533,1.0,4,133.0,133.0,1,70,4,3793,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,0,0
27686,1.0,2,139.0,139.0,8,544,1,469,1090.456299,3.2e-05,1.3e-05,0.000128,2.1e-05,5.3e-05,4,4,280,264,0.006419,0.002751,0.002751,0,0
27702,1.0,3,0.0,0.0,8,408,1,485,1090.560181,0.000212,4.1e-05,0.000849,0.00016,0.000262,4,4,168,240,0.006419,0.002751,0.002751,0,0
27995,1.0,1,57942.0,57942.0,2,180,1,4279,0.048622,0.048622,0.0,0.048622,0.048622,0.048622,1,1,90,90,20.566822,0.0,0.0,0,0
27996,1.0,3,0.0,0.0,2,120,1,4280,5.8e-05,5.8e-05,0.0,5.8e-05,5.8e-05,5.8e-05,1,1,60,60,17241.378906,0.0,0.0,0,0
28002,1.0,1,45932.0,45932.0,2,180,1,4286,0.048539,0.048539,0.0,0.048539,0.048539,0.048539,1,1,90,90,20.60199,0.0,0.0,0,0
28003,1.0,3,0.0,0.0,2,120,1,4287,6.5e-05,6.5e-05,0.0,6.5e-05,6.5e-05,6.5e-05,1,1,60,60,15384.615234,0.0,0.0,0,0
