pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
175245,1526880842.086105,e,tcp,192.168.100.148,40850,192.168.100.3,36819,2,120,RST,1526880842.08613,18537,2.5e-05,2.5e-05,0.0,,,2.5e-05,2.5e-05,2.5e-05,,,,,1,1,60,60,40000.0,0.0,0.0,1,Reconnaissance,Service_Scan
2918697,1528081519.029711,e s,tcp,192.168.100.147,27459.0,192.168.100.7,80.0,7,1078,REQ,1528081570.422199,10125,51.392487,0.0,0.0,,,0.0,0.0,0.0,,,,,7,0,1078,0,0.116749,0.116749,0.0,1,DoS,TCP
842375,1526949242.998571,e,tcp,192.168.100.148,42640,192.168.100.3,16599,2,120,RST,1526949242.999016,22781,0.000445,0.000445,0.0,,,0.000445,0.000445,0.000445,,,,,1,1,60,60,2247.190918,0.0,0.0,1,Reconnaissance,Service_Scan
2234113,1528081358.54527,e s,tcp,192.168.100.147,18077.0,192.168.100.7,80.0,5,770,REQ,1528081380.919416,112043,22.374146,1.030892,1.785557,,,4.123566,0.0,4.123566,,,,,5,0,770,0,0.178778,0.178778,0.0,1,DoS,TCP
1697918,1526963502.043541,e d,tcp,192.168.100.149,58700,192.168.100.7,8009,8,562,FIN,1526963508.083062,52215,6.039521,0.017421,0.015889,,,0.034841,0.001532,0.033309,,,,,4,4,290,272,1.159032,0.496728,0.496728,1,Reconnaissance,OS_Fingerprint
1442036,1526967625.640074,e,tcp,192.168.100.147,47688.0,192.168.100.3,80.0,10,1675,RST,1526967625.640362,298401,0.000288,0.000288,0.0,,,0.000288,0.000288,0.000288,,,,,6,4,915,760,31249.998047,17361.111328,10416.666016,1,Reconnaissance,Service_Scan
2000047,1528081325.528982,e s,tcp,192.168.100.149,30213.0,192.168.100.5,80.0,4,616,REQ,1528081352.858943,140189,27.329962,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.10977,0.10977,0.0,1,DoS,TCP
2827354,1528081472.696084,e s,tcp,192.168.100.148,50017.0,192.168.100.6,80.0,5,582,RST,1528081511.260978,180945,38.564896,0.030673,0.025642,,,0.09202,0.0,0.062763,,,,,3,2,462,120,0.103721,0.0519,0.025973,1,DoS,TCP
2760923,1528081465.655171,e s,tcp,192.168.100.147,45536.0,192.168.100.7,80.0,5,770,REQ,1528081509.203301,114514,43.54813,0.0,0.0,,,0.0,0.0,0.0,,,,,5,0,770,0,0.091852,0.091852,0.0,1,DoS,TCP
2363036,1528081374.55012,e,tcp,192.168.100.150,9059.0,192.168.100.3,80.0,3,274,RST,1528081374.72238,240966,0.17226,0.17226,0.0,,,0.17226,0.17226,0.17226,,,,,2,1,214,60,11.610356,5.805178,0.0,1,DoS,TCP
851341,1526949243.145427,e,tcp,192.168.100.147,47422,192.168.100.3,15412,2,120,RST,1526949243.146201,31747,0.000774,0.000774,0.0,,,0.000774,0.000774,0.000774,,,,,1,1,60,60,1291.989624,0.0,0.0,1,Reconnaissance,Service_Scan
2240299,1528081358.673159,e s,tcp,192.168.100.148,10426.0,192.168.100.6,80.0,6,830,REQ,1528081385.299032,118229,26.625874,0.044672,0.089344,,,0.223359,0.0,0.223359,,,,,5,1,770,60,0.187787,0.15023,0.0,1,DoS,TCP
2690824,1528081460.874821,e s,tcp,192.168.100.147,2775.0,192.168.100.7,80.0,7,1078,REQ,1528081511.580242,44415,50.705421,0.752984,1.683724,,,4.517906,0.0,4.517906,,,,,7,0,1078,0,0.118331,0.118331,0.0,1,DoS,TCP
1042361,1526949257.57145,e,tcp,192.168.100.149,41607,192.168.100.3,64496,2,120,RST,1526949257.604497,222769,0.033047,0.033047,0.0,,,0.033047,0.033047,0.033047,,,,,1,1,60,60,30.259932,0.0,0.0,1,Reconnaissance,Service_Scan
450405,1526884678.854614,e,tcp,192.168.100.148,5602.0,192.168.100.3,3311,2,120,RST,1526884678.854662,3827,4.8e-05,4.8e-05,0.0,,,4.8e-05,4.8e-05,4.8e-05,,,,,1,1,60,60,20833.332031,0.0,0.0,1,Reconnaissance,Service_Scan
2893313,1528081482.303227,e s,tcp,192.168.100.148,14899.0,192.168.100.6,80.0,3,368,RST,1528081501.445266,246904,19.177757,0.017859,0.017859,,,0.035718,0.0,0.035718,,,,,2,1,308,60,0.104287,0.052241,0.0,1,DoS,TCP
1572774,1526894261.889773,e,tcp,192.168.100.149,41541,192.168.100.7,900,2,120,RST,1526894261.890267,17800,0.000494,0.000494,0.0,,,0.000494,0.000494,0.000494,,,,,1,1,60,60,2024.291626,0.0,0.0,1,Reconnaissance,OS_Fingerprint
167976,1526880841.931197,e,tcp,192.168.100.148,40850,192.168.100.3,55342,2,120,RST,1526880841.931214,11268,1.7e-05,1.7e-05,0.0,,,1.7e-05,1.7e-05,1.7e-05,,,,,1,1,60,60,58823.527344,0.0,0.0,1,Reconnaissance,Service_Scan
2000960,1528081325.588125,e s,tcp,192.168.100.147,53660.0,192.168.100.7,80.0,4,616,REQ,1528081350.67041,141102,25.082285,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.119606,0.119606,0.0,1,DoS,TCP
336108,1526880852.238862,e,tcp,192.168.100.147,59460,192.168.100.3,8481,2,120,RST,1526880852.260419,179401,0.021557,0.021557,0.0,,,0.021557,0.021557,0.021557,,,,,1,1,60,60,46.388645,0.0,0.0,1,Reconnaissance,Service_Scan
2913462,1528081518.720537,e s,tcp,192.168.100.147,24862.0,192.168.100.7,80.0,7,1078,REQ,1528081569.708525,4890,50.987988,0.0,0.0,,,0.0,0.0,0.0,,,,,7,0,1078,0,0.117675,0.117675,0.0,1,DoS,TCP
1251256,1526967367.308054,e,tcp,192.168.100.150,47095,192.168.100.3,42277,2,120,RST,1526967367.32111,107479,0.013056,0.013056,0.0,,,0.013056,0.013056,0.013056,,,,,1,1,60,60,76.59314,0.0,0.0,1,Reconnaissance,Service_Scan
1153104,1526967363.028299,e,tcp,192.168.100.147,52071.0,192.168.100.3,17264.0,2,120,RST,1526967363.028396,9326,9.7e-05,9.7e-05,0.0,,,9.7e-05,9.7e-05,9.7e-05,,,,,1,1,60,60,10309.27832,0.0,0.0,1,Reconnaissance,Service_Scan
1016239,1526949254.438918,e,tcp,192.168.100.149,41607,192.168.100.3,33483,2,120,RST,1526949254.492302,196646,0.053384,0.053384,0.0,,,0.053384,0.053384,0.053384,,,,,1,1,60,60,18.732204,0.0,0.0,1,Reconnaissance,Service_Scan
2270623,1528081359.492425,e s,tcp,192.168.100.148,24242.0,192.168.100.6,80.0,6,830,REQ,1528081388.752771,148553,29.260345,0.084942,0.169885,,,0.424712,0.0,0.424712,,,,,5,1,770,60,0.17088,0.136704,0.0,1,DoS,TCP
1520563,1526877383.178007,e,tcp,192.168.100.148,61161,192.168.100.3,5922,2,120,RST,1526877383.178129,1489,0.000122,0.000122,0.0,,,0.000122,0.000122,0.000122,,,,,1,1,60,60,8196.72168,0.0,0.0,1,Reconnaissance,OS_Fingerprint
385139,1526880857.766761,e,tcp,192.168.100.147,59460,192.168.100.3,38617,2,120,RST,1526880857.805796,228432,0.039035,0.039035,0.0,,,0.039035,0.039035,0.039035,,,,,1,1,60,60,25.618034,0.0,0.0,1,Reconnaissance,Service_Scan
520309,1526898841.518109,e,tcp,192.168.100.147,65233.0,192.168.100.3,10115.0,2,120,RST,1526898841.518618,20991,0.000509,0.000509,0.0,,,0.000509,0.000509,0.000509,,,,,1,1,60,60,1964.636597,0.0,0.0,1,Reconnaissance,Service_Scan
1784368,1526981417.308709,e,tcp,192.168.100.149,45394,192.168.100.6,5922,2,120,RST,1526981417.308785,47690,7.6e-05,7.6e-05,0.0,,,7.6e-05,7.6e-05,7.6e-05,,,,,1,1,60,60,13157.895508,0.0,0.0,1,Reconnaissance,OS_Fingerprint
2404079,1528081396.165458,e s,tcp,192.168.100.149,42614.0,192.168.100.5,80.0,5,676,RST,1528081455.115881,19847,59.082561,0.033035,0.057218,,,0.132139,0.0,0.132139,,,,,4,1,616,60,0.067702,0.05089,0.0,1,DoS,TCP
2919408,1528081519.078036,e s,tcp,192.168.100.147,27722.0,192.168.100.7,80.0,7,1078,REQ,1528081570.475606,10836,51.397572,0.0,0.0,,,0.0,0.0,0.0,,,,,7,0,1078,0,0.116737,0.116737,0.0,1,DoS,TCP
211262,1526880843.217899,e,tcp,192.168.100.147,59460,192.168.100.3,44379,2,120,RST,1526880843.235054,54554,0.017155,0.017155,0.0,,,0.017155,0.017155,0.017155,,,,,1,1,60,60,58.292046,0.0,0.0,1,Reconnaissance,Service_Scan
1261183,1526967367.962959,e,tcp,192.168.100.148,50428,192.168.100.3,60838,2,120,RST,1526967367.998561,117407,0.035602,0.035602,0.0,,,0.035602,0.035602,0.035602,,,,,1,1,60,60,28.08831,0.0,0.0,1,Reconnaissance,Service_Scan
1955722,1528081323.546815,e s,tcp,192.168.100.149,18124,192.168.100.5,80,4,616,REQ,1528081351.913361,95864,28.366547,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.105758,0.105758,0.0,1,DoS,TCP
1210387,1526967365.223844,e,tcp,192.168.100.148,50428,192.168.100.3,37912,2,120,RST,1526967365.237418,66610,0.013574,0.013574,0.0,,,0.013574,0.013574,0.013574,,,,,1,1,60,60,73.67025,0.0,0.0,1,Reconnaissance,Service_Scan
937331,1526949247.200831,e,tcp,192.168.100.148,42640.0,192.168.100.3,15351.0,2,120,RST,1526949247.217356,117737,0.016525,0.016525,0.0,,,0.016525,0.016525,0.016525,,,,,1,1,60,60,60.51437,0.0,0.0,1,Reconnaissance,Service_Scan
1570901,1526894256.106197,e,tcp,192.168.100.147,64830,192.168.100.7,5120,2,120,RST,1526894256.106758,15924,0.000561,0.000561,0.0,,,0.000561,0.000561,0.000561,,,,,1,1,60,60,1782.531128,0.0,0.0,1,Reconnaissance,OS_Fingerprint
340158,1526880852.658562,e,tcp,192.168.100.150,56304,192.168.100.3,14982,2,120,RST,1526880852.682985,183451,0.024423,0.024423,0.0,,,0.024423,0.024423,0.024423,,,,,1,1,60,60,40.945011,0.0,0.0,1,Reconnaissance,Service_Scan
2983203,1528081522.616948,e g,tcp,192.168.100.150,56226.0,192.168.100.3,80.0,9,822,RST,1528081575.821246,74631,53.204296,0.168135,0.016937,,,0.504405,0.144367,0.182586,,,,,6,3,642,180,0.150364,0.093977,0.037591,1,DoS,TCP
1322564,1526967373.157753,e,tcp,192.168.100.148,50428,192.168.100.3,13819,2,120,RST,1526967373.215021,178789,0.057268,0.057268,0.0,,,0.057268,0.057268,0.057268,,,,,1,1,60,60,17.461758,0.0,0.0,1,Reconnaissance,Service_Scan
843480,1526949243.01573,e,tcp,192.168.100.148,42640,192.168.100.3,54845,2,120,RST,1526949243.016237,23886,0.000507,0.000507,0.0,,,0.000507,0.000507,0.000507,,,,,1,1,60,60,1972.386475,0.0,0.0,1,Reconnaissance,Service_Scan
1204392,1526967364.979143,e,tcp,192.168.100.148,50428,192.168.100.3,23030,2,120,RST,1526967364.98507,60615,0.005927,0.005927,0.0,,,0.005927,0.005927,0.005927,,,,,1,1,60,60,168.719421,0.0,0.0,1,Reconnaissance,Service_Scan
1308069,1526967371.772511,e,tcp,192.168.100.150,47095,192.168.100.3,6184,2,120,RST,1526967371.792976,164294,0.020465,0.020465,0.0,,,0.020465,0.020465,0.020465,,,,,1,1,60,60,48.863914,0.0,0.0,1,Reconnaissance,Service_Scan
666785,1526898850.933135,e,tcp,192.168.100.150,54114,192.168.100.3,9018,2,120,RST,1526898850.977425,167469,0.04429,0.04429,0.0,,,0.04429,0.04429,0.04429,,,,,1,1,60,60,22.578461,0.0,0.0,1,Reconnaissance,Service_Scan
1181363,1526967363.927971,e,tcp,192.168.100.147,52071,192.168.100.3,51051,2,120,RST,1526967363.928968,37586,0.000997,0.000997,0.0,,,0.000997,0.000997,0.000997,,,,,1,1,60,60,1003.008972,0.0,0.0,1,Reconnaissance,Service_Scan
757177,1526898860.437527,e,tcp,192.168.100.150,54114,192.168.100.3,32304,2,120,RST,1526898860.472866,257862,0.035339,0.035339,0.0,,,0.035339,0.035339,0.035339,,,,,1,1,60,60,28.297348,0.0,0.0,1,Reconnaissance,Service_Scan
2016285,1528081326.445562,e g,tcp,192.168.100.150,26695.0,192.168.100.3,80.0,6,548,RST,1528081354.205526,156427,27.759964,0.141289,0.033575,,,0.282578,0.107714,0.174864,,,,,4,2,428,120,0.180116,0.108069,0.036023,1,DoS,TCP
1594335,1526894963.166189,e,tcp,192.168.100.149,51379,192.168.100.3,8400,2,120,RST,1526894963.166347,39678,0.000158,0.000158,0.0,,,0.000158,0.000158,0.000158,,,,,1,1,60,60,6329.114258,0.0,0.0,1,Reconnaissance,OS_Fingerprint
1540804,1526877803.19158,e,tcp,192.168.100.149,63958,192.168.100.3,19801,2,120,RST,1526877803.191832,21932,0.000252,0.000252,0.0,,,0.000252,0.000252,0.000252,,,,,1,1,60,60,3968.253906,0.0,0.0,1,Reconnaissance,OS_Fingerprint
2159904,1528081356.855346,e s,tcp,192.168.100.148,53932.0,192.168.100.6,80.0,7,890,RST,1528081381.110574,37834,24.255228,0.008523,0.010444,,,0.042614,0.0,0.021863,,,,,5,2,770,120,0.247369,0.165062,0.053219,1,DoS,TCP
2761826,1528081465.759702,e s,tcp,192.168.100.148,28626.0,192.168.100.6,80.0,3,462,REQ,1528081504.830057,115417,39.070354,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.05119,0.05119,0.0,1,DoS,TCP
1865638,1528081321.682056,e s,tcp,192.168.100.147,8329.0,192.168.100.7,80.0,5,770,REQ,1528081352.337666,5780,30.655609,0.0,0.0,,,0.0,0.0,0.0,,,,,5,0,770,0,0.130482,0.130482,0.0,1,DoS,TCP
951792,1526949248.269192,e,tcp,192.168.100.149,41607,192.168.100.3,13683,2,120,RST,1526949248.320829,132198,0.051637,0.051637,0.0,,,0.051637,0.051637,0.051637,,,,,1,1,60,60,19.365957,0.0,0.0,1,Reconnaissance,Service_Scan
1999270,1528081325.487342,e s,tcp,192.168.100.149,29973,192.168.100.5,80,4,616,REQ,1528081352.842734,139412,27.355392,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.109668,0.109668,0.0,1,DoS,TCP
1899625,1528081322.107821,e g,tcp,192.168.100.150,2979,192.168.100.3,80,6,548,RST,1528081344.898735,39767,22.790915,0.094596,0.05301,,,0.189193,0.041587,0.147606,,,,,4,2,428,120,0.219386,0.131631,0.043877,1,DoS,TCP
999513,1526949252.599632,e,tcp,192.168.100.149,41607,192.168.100.3,53994,2,120,RST,1526949252.648549,179920,0.048917,0.048917,0.0,,,0.048917,0.048917,0.048917,,,,,1,1,60,60,20.442791,0.0,0.0,1,Reconnaissance,Service_Scan
844798,1526949243.035999,e,tcp,192.168.100.148,42640,192.168.100.3,49341,2,120,RST,1526949243.036742,25204,0.000743,0.000743,0.0,,,0.000743,0.000743,0.000743,,,,,1,1,60,60,1345.89502,0.0,0.0,1,Reconnaissance,Service_Scan
1956562,1528081323.573066,e s,tcp,192.168.100.148,30597,192.168.100.6,80,7,890,RST,1528081354.786446,96704,31.213381,0.04175,0.075868,,,0.208751,0.0,0.192994,,,,,5,2,770,120,0.192225,0.128947,0.0521,1,DoS,TCP
1257279,1526967367.697721,e,tcp,192.168.100.150,47095,192.168.100.3,32122,2,120,RST,1526967367.729413,113502,0.031692,0.031692,0.0,,,0.031692,0.031692,0.031692,,,,,1,1,60,60,31.553705,0.0,0.0,1,Reconnaissance,Service_Scan
2727981,1528081463.917239,e g,tcp,192.168.100.150,40870.0,192.168.100.3,80.0,9,822,RST,1528081516.302711,81572,52.385471,0.137741,0.027428,,,0.413222,0.113292,0.176045,,,,,6,3,642,180,0.152714,0.095446,0.038179,1,DoS,TCP
2511207,1528081404.352188,e s,tcp,192.168.100.147,42079.0,192.168.100.7,80.0,6,924,REQ,1528081457.829778,126975,53.477589,0.0,0.0,,,0.0,0.0,0.0,,,,,6,0,924,0,0.093497,0.093497,0.0,1,DoS,TCP
285419,1526880847.650679,e,tcp,192.168.100.150,56304,192.168.100.3,19991,2,120,RST,1526880847.674895,128711,0.024216,0.024216,0.0,,,0.024216,0.024216,0.024216,,,,,1,1,60,60,41.295013,0.0,0.0,1,Reconnaissance,Service_Scan
669469,1526898851.194426,e,tcp,192.168.100.150,54114,192.168.100.3,31960,2,120,RST,1526898851.23444,170153,0.040014,0.040014,0.0,,,0.040014,0.040014,0.040014,,,,,1,1,60,60,24.991253,0.0,0.0,1,Reconnaissance,Service_Scan
1120151,1526958494.718344,e,tcp,192.168.100.150,10899.0,192.168.100.3,8715.0,2,120,RST,1526958494.718397,3628,5.3e-05,5.3e-05,0.0,,,5.3e-05,5.3e-05,5.3e-05,,,,,1,1,60,60,18867.923828,0.0,0.0,1,Reconnaissance,Service_Scan
2403997,1528081396.165379,e s,tcp,192.168.100.149,42577.0,192.168.100.5,80.0,4,616,REQ,1528081455.055171,19765,58.889793,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.050943,0.050943,0.0,1,DoS,TCP
2294502,1528081360.127777,e s,tcp,192.168.100.147,33940.0,192.168.100.7,80.0,5,770,REQ,1528081384.040609,172432,23.912832,0.0,0.0,,,0.0,0.0,0.0,,,,,5,0,770,0,0.167274,0.167274,0.0,1,DoS,TCP
867499,1526949243.52988,e,tcp,192.168.100.148,42640,192.168.100.3,65334,2,120,RST,1526949243.540023,47905,0.010143,0.010143,0.0,,,0.010143,0.010143,0.010143,,,,,1,1,60,60,98.590164,0.0,0.0,1,Reconnaissance,Service_Scan
1667709,1526962943.150176,e,tcp,192.168.100.149,40281,192.168.100.3,10010,2,120,RST,1526962943.150247,21656,7.1e-05,7.1e-05,0.0,,,7.1e-05,7.1e-05,7.1e-05,,,,,1,1,60,60,14084.506836,0.0,0.0,1,Reconnaissance,OS_Fingerprint
1916628,1528081322.449386,e s,tcp,192.168.100.149,7600,192.168.100.5,80,4,616,REQ,1528081351.271632,56770,28.822247,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.104086,0.104086,0.0,1,DoS,TCP
2836863,1528081473.802973,e s,tcp,192.168.100.148,53468.0,192.168.100.6,80.0,3,462,REQ,1528081512.118562,190454,38.31559,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.052198,0.052198,0.0,1,DoS,TCP
1758269,1526980943.224899,e,tcp,192.168.100.148,43958,192.168.100.3,1277,2,120,RST,1526980943.224987,21304,8.8e-05,8.8e-05,0.0,,,8.8e-05,8.8e-05,8.8e-05,,,,,1,1,60,60,11363.636719,0.0,0.0,1,Reconnaissance,OS_Fingerprint
2164770,1528081356.99771,e s,tcp,192.168.100.148,55296.0,192.168.100.6,80.0,7,890,RST,1528081381.299629,42700,24.30192,0.008269,0.01013,,,0.041347,0.0,0.021008,,,,,5,2,770,120,0.246894,0.164738,0.053108,1,DoS,TCP
354094,1526880854.193264,e,tcp,192.168.100.150,56304,192.168.100.3,33646,2,120,RST,1526880854.252964,197387,0.0597,0.0597,0.0,,,0.0597,0.0597,0.0597,,,,,1,1,60,60,16.750418,0.0,0.0,1,Reconnaissance,Service_Scan
725574,1526898857.354182,e,tcp,192.168.100.150,54114,192.168.100.3,59502,2,120,RST,1526898857.400479,226259,0.046297,0.046297,0.0,,,0.046297,0.046297,0.046297,,,,,1,1,60,60,21.599672,0.0,0.0,1,Reconnaissance,Service_Scan
2287356,1528081359.945864,e s,tcp,192.168.100.148,30067.0,192.168.100.6,80.0,7,890,RST,1528081390.222315,165286,30.276451,0.06778,0.109678,,,0.338898,0.0,0.282787,,,,,5,2,770,120,0.198174,0.132361,0.041305,1,DoS,TCP
2722687,1528081463.626499,e s,tcp,192.168.100.147,24888.0,192.168.100.7,80.0,7,1078,REQ,1528081514.041301,76278,50.414803,0.739909,1.654487,,,4.439453,0.0,4.439453,,,,,7,0,1078,0,0.119013,0.119013,0.0,1,DoS,TCP
378893,1526880857.089559,e,tcp,192.168.100.149,57044,192.168.100.3,36069,2,120,RST,1526880857.114452,222186,0.024893,0.024893,0.0,,,0.024893,0.024893,0.024893,,,,,1,1,60,60,40.171936,0.0,0.0,1,Reconnaissance,Service_Scan
77246,1526351374.499583,e s,tcp,192.168.100.148,1124,192.168.100.5,952,4,240,RST,1526351375.514329,13199,1.014746,0.507373,0.507373,,,1.014746,0.0,1.014746,,,,,3,1,180,60,2.956405,1.970937,0.0,1,Reconnaissance,Service_Scan
707921,1526898855.358825,e,tcp,192.168.100.150,54114,192.168.100.3,64084,2,120,RST,1526898855.430986,208606,0.072161,0.072161,0.0,,,0.072161,0.072161,0.072161,,,,,1,1,60,60,13.857902,0.0,0.0,1,Reconnaissance,Service_Scan
1045435,1526949257.980165,e,tcp,192.168.100.149,41607,192.168.100.3,4653,2,120,RST,1526949258.019235,225843,0.03907,0.03907,0.0,,,0.03907,0.03907,0.03907,,,,,1,1,60,60,25.595087,0.0,0.0,1,Reconnaissance,Service_Scan
2913931,1528081518.741633,e s,tcp,192.168.100.149,39882.0,192.168.100.5,80.0,4,616,REQ,1528081562.116863,5359,43.375229,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.069164,0.069164,0.0,1,DoS,TCP
1691807,1526963400.157322,e,tcp,192.168.100.150,53639,192.168.100.5,3367,2,120,RST,1526963400.15788,46013,0.000558,0.000558,0.0,,,0.000558,0.000558,0.000558,,,,,1,1,60,60,1792.114746,0.0,0.0,1,Reconnaissance,OS_Fingerprint
2050607,1528081328.62668,e s,tcp,192.168.100.147,1112.0,192.168.100.7,80.0,4,616,REQ,1528081352.026792,190749,23.400112,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.128205,0.128205,0.0,1,DoS,TCP
2643766,1528081423.259521,e s,tcp,192.168.100.149,11672.0,192.168.100.5,80.0,3,462,REQ,1528081447.805218,259534,24.545696,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.081481,0.081481,0.0,1,DoS,TCP
1954955,1528081323.523885,e s,tcp,192.168.100.149,17976,192.168.100.5,80,4,616,REQ,1528081351.913231,95097,28.389345,0.0,0.0,,,0.0,0.0,0.0,,,,,4,0,616,0,0.105673,0.105673,0.0,1,DoS,TCP
2468514,1528081400.932829,e s,tcp,192.168.100.149,63282.0,192.168.100.5,80.0,4,522,RST,1528081437.513486,84282,36.580658,0.071613,0.101277,,,0.21484,0.0,0.21484,,,,,3,1,462,60,0.082011,0.054674,0.0,1,DoS,TCP
2102168,1528081337.910604,e,tcp,192.168.100.150,53911.0,192.168.100.3,80.0,3,274,RST,1528081338.104189,242310,0.193585,0.193585,0.0,,,0.193585,0.193585,0.193585,,,,,2,1,214,60,10.331379,5.165689,0.0,1,DoS,TCP
1078486,1526949261.112765,e,tcp,192.168.100.150,49731,192.168.100.3,5491,2,120,RST,1526949261.120756,258894,0.007991,0.007991,0.0,,,0.007991,0.007991,0.007991,,,,,1,1,60,60,125.140785,0.0,0.0,1,Reconnaissance,Service_Scan
85241,1526351536.78584,e,tcp,192.168.100.147,49832,192.168.100.6,5190,2,134,RST,1526351536.786315,21618,0.000475,0.000475,0.0,,,0.000475,0.000475,0.000475,,,,,1,1,74,60,2105.263184,0.0,0.0,1,Reconnaissance,Service_Scan
2086320,1528081332.971024,e s,tcp,192.168.100.149,61038.0,192.168.100.5,80.0,3,462,REQ,1528081350.273726,226462,17.302702,0.0,0.0,,,0.0,0.0,0.0,,,,,3,0,462,0,0.115589,0.115589,0.0,1,DoS,TCP
