pkSeqID,flgs,proto,sport,dport,pkts,bytes,state,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPsrcIP,TnBPDstIP,TnPPSrcIP,TnPPDstIP,TnPPerProto,TnPPerDport,avgPD,attack,subcategory 
1656430,1,2,33682,445,3,180,5,10287,0.000388,0.000388,0,0.000388,0.000388,0.000388,2,1,120,60,5154.63916,2577.31958,0,1943037,1368514,23114,16132,31850,2,7731.958763,1,4
1727142,1,2,34576,1151,2,120,5,26214,0.002847,0.002847,0,0.002847,0.002847,0.002847,1,1,60,60,351.246918,0,0,1876591,1989631,22550,22037,33101,6,702.4938532,1,4
1574557,1,2,34595,7741,2,120,5,19585,0.000675,0.000675,0,0.000675,0.000675,0.000675,1,1,60,60,1481.481445,0,0,1862957,1421290,22149,17587,32925,5,2962.962963,1,4
1699369,1,2,35141,1277,2,120,5,53666,0.001929,0.001929,0,0.001929,0.001929,0.001929,1,1,60,60,518.40332,0,0,1860646,1343814,22375,17698,34535,7,1036.806636,1,4
1693900,1,2,37317,2042,2,120,5,48144,2.30E-05,2.30E-05,0,2.30E-05,2.30E-05,2.30E-05,1,1,60,60,43478.26172,0,0,1926471,1390352,22871,16201,33130,7,86956.52174,1,4
1562348,1,2,37861,2601,2,120,5,7355,0.00149,0.00149,0,0.00149,0.00149,0.00149,1,1,60,60,671.14093,0,0,1906283,1974621,22580,21827,33230,4,1342.281879,1,4
1704154,1,2,37877,1218,2,120,5,3001,2.50E-05,2.50E-05,0,2.50E-05,2.50E-05,2.50E-05,1,1,60,60,40000,0,0,1871471,2839562,22244,35797,32074,4,80000,1,4
1713620,1,2,38307,19801,2,120,5,12537,3.00E-05,3.00E-05,0,3.00E-05,3.00E-05,3.00E-05,1,1,60,60,33333.33594,0,0,1900382,1370724,22374,16014,32421,9,66666.66667,1,4
1514092,1,2,39166,1175,2,120,5,48418,7.40E-05,7.40E-05,0,7.40E-05,7.40E-05,7.40E-05,1,1,60,60,13513.5127,0,0,1895881,1350292,22661,15505,34155,14,27027.02703,1,4
1664656,1,2,39400,16012,2,120,5,18527,0.000485,0.000485,0,0.000485,0.000485,0.000485,1,1,60,60,2061.855713,0,0,1859078,1379302,22523,17825,34132,6,4123.71134,1,4
1667709,1,2,40281,10010,2,120,5,21656,7.10E-05,7.10E-05,0,7.10E-05,7.10E-05,7.10E-05,1,1,60,60,14084.50684,0,0,1922479,2832063,23197,36054,31392,2,28169.01408,1,4
1667612,1,2,40281,1310,2,120,5,21559,0.000122,0.000122,0,0.000122,0.000122,0.000122,1,1,60,60,8196.72168,0,0,1853610,2841354,22361,35028,34335,7,16393.44262,1,4
1651998,1,2,40402,143,9,742,3,5841,1.736775,1.736775,0,1.736775,1.736775,1.736775,5,4,338,404,4.606238,2.303119,1.727339,1918802,2811315,23199,35104,32872,7,5.182018396,1,4
1572774,1,2,41541,900,2,120,5,17800,0.000494,0.000494,0,0.000494,0.000494,0.000494,1,1,60,60,2024.291626,0,0,1931673,1506228,23261,17160,31008,4,4048.582996,1,4
