pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPsrcIP,TnBPDstIP,TnPPSrcIP,TnPPDstIP,TnPPerProto,TnPPerDport,avgPD,attack,category,subcategory 
1,1526344121,e,arp,192.168.100.1,,192.168.100.3,,4,240,CON,1526345317,9,1195.996582,0.000006,0.000002,,,0.000011,0.000004,0.000007,,,,,2,2,120,120,0.002508,0.000836,0.000836,488321201,3588238494,504810,5057630,1344119,1289326,0.003344491,0,Normal,Normal
2,1526344223,e,tcp,192.168.100.7,139,192.168.100.4,36390,10,680,CON,1526345677,10,1453.945923,0.000028,0.000008,,,0.000138,0.000022,0.000042,,,,,5,5,350,330,0.00619,0.002751,0.002751,1713829113,26264778,1914393,29935,8970067,84,0.006877835,0,Normal,Normal
3,1526344227,e,udp,192.168.100.149,51838,27.124.125.250,123,2,180,CON,1526344227,11,0.048565,0.048565,0,,,0.048565,0.048565,0.048565,,,,,1,1,90,90,20.59096,0,0,403667227,14855,441871,84,9472698,396304,41.18192114,0,Normal,Normal
4,1526344228,e,arp,192.168.100.4,,192.168.100.7,,10,510,CON,1526345682,12,1454.080322,0.000238,0.000022,,,0.001189,0.000199,0.000261,,,,,5,5,210,300,0.006189,0.002751,0.002751,733250464,3250063,768974,10995,3135881,1314309,0.006877199,0,Normal,Normal
5,1526344303,e,udp,192.168.100.27,58999,192.168.100.1,53,4,630,CON,1526344873,14,569.93396,0.098505,0.08015,,,0.197011,0.018356,0.178655,,,,,2,2,174,456,0.005264,0.001755,0.001755,727095052,2508990791,766927,2734023,8874115,3871915,0.007018357,0,Normal,Normal
6,1526344303,e,arp,192.168.100.1,,192.168.100.27,,2,120,CON,1526344303,15,0.000367,0.000367,0,,,0.000367,0.000367,0.000367,,,,,1,1,60,60,2724.795654,0,0,1711061202,88463497,1830565,91580,3605784,1362246,5449.591281,0,Normal,Normal
7,1526344308,e,arp,192.168.100.27,,192.168.100.1,,4,240,CON,1526344878,16,569.855957,0.000122,0.000025,,,0.000243,0.000097,0.000146,,,,,2,2,120,120,0.005264,0.001755,0.001755,545934723,1514663361,667124,1939301,2904664,1159536,0.007019318,0,Normal,Normal
8,1526344326,e,udp,192.168.100.150,58360,192.168.217.2,53,2,172,INT,1526344329,18,2.500101,0,0,,,0,0,0,,,,,2,0,172,0,0.399984,0.399984,0,955978205,663024400,1099553,738122,11653005,5785644,0.799967681,0,Normal,Normal
9,1526344328,e,udp,192.168.100.149,37214,192.168.217.2,53,2,172,INT,1526344331,41,2.501101,0,0,,,0,0,0,,,,,2,0,172,0,0.399824,0.399824,0,267968538,703083012,333554,796179,11855240,6029914,0.799647835,0,Normal,Normal
10,1526344332,e,arp,192.168.100.150,,192.168.100.1,,6,360,CON,1526345484,65,1152.256592,0.000091,0.000014,,,0.000273,0.000075,0.000109,,,,,3,3,180,180,0.004339,0.001736,0.001736,890581173,2086301242,1008128,2316937,2527792,1057396,0.005207174,0,Normal,Normal
11,1526344332,e,udp,192.168.100.7,138,192.168.100.255,138,4,1086,INT,1526345061,104,728.37085,0.000077,0.000016,,,0.000154,0.000061,0.000093,,,,,4,0,1086,0,0.004119,0.004119,0,2895312461,508472351,3348959,647947,11826833,647915,0.005491708,0,Normal,Normal
12,1526344333,e,udp,192.168.100.150,57950,8.8.8.8,53,2,172,CON,1526344333,107,0.007523,0.007523,0,,,0.007523,0.007523,0.007523,,,,,1,1,86,86,132.925705,0,0,643767214,845000224,758403,963531,12332151,6292828,265.8513891,0,Normal,Normal
1013,1526344331,e,udp,192.168.100.148,36138,192.168.217.2,53,2,172,INT,1526344333,63,2.501218,0,0,,,0,0,0,,,,,2,0,172,0,0.399805,0.399805,0,635920302,370918869,719477,400329,12295474,6874171,0.79961043,0,Normal,Normal
1020,1526344232,e,arp,192.168.100.149,,192.168.100.1,,6,360,CON,1526345486,13,1253.63269,0.000144,0.000026,,,0.000432,0.000115,0.000179,,,,,3,3,180,180,0.003988,0.001595,0.001595,834551020,2046131297,893699,2464652,2550786,1423889,0.004786091,0,Normal,Normal
1021,1526344335,e,udp,192.168.100.149,34295,8.8.8.8,53,2,172,CON,1526344335,1110,0.007698,0.007698,0,,,0.007698,0.007698,0.007698,,,,,1,1,86,86,129.90387,0,0,1058105995,1329575609,1140004,1422340,11786109,6314390,259.8077423,0,Normal,Normal
2028,1526344333,e,udp,192.168.100.147,43735,192.168.217.2,53,2,172,INT,1526344335,106,2.501009,0,0,,,0,0,0,,,,,2,0,172,0,0.399839,0.399839,0,616040899,367990153,822287,477926,11300168,6165485,0.79967725,0,Normal,Normal
2029,1526344336,e,arp,192.168.100.148,,192.168.100.1,,6,360,CON,1526345489,2105,1153.024658,0.000129,0.00005,,,0.000387,0.000062,0.000183,,,,,3,3,180,180,0.004336,0.001735,0.001735,698505691,1261232189,896700,1541932,2133876,1402739,0.005203705,0,Normal,Normal
