pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
22313166,1528085884.352274,e,udp,192.168.100.148,39025.0,192.168.100.7,80.0,8,480,INT,1528085920.536699,9889,36.184425,1.55353,2.197141,,,9.321182,0.0,4.699922,,,,,8,0,480,0,0.193453,0.193453,0.0,1,DoS,UDP
22381828,1528085885.297566,e,udp,192.168.100.148,54742,192.168.100.7,80,7,420,INT,1528085921.359219,78551,36.061653,0.741366,1.657745,,,4.448198,0.0,4.448198,,,,,7,0,420,0,0.166382,0.166382,0.0,1,DoS,UDP
22837953,1528085946.796216,e,udp,192.168.100.149,47300,192.168.100.3,80,4,240,INT,1528085956.954795,10345,10.158579,3.107685,0.099652,,,6.21537,3.008029,3.207341,,,,,4,0,240,0,0.295317,0.295317,0.0,1,DoS,UDP
23768153,1528086049.73934,e,udp,192.168.100.150,37488,192.168.100.5,80,5,300,INT,1528086069.390181,154056,19.650841,2.612675,1.847567,,,7.838025,0.0,3.945484,,,,,5,0,300,0,0.203554,0.203554,0.0,1,DoS,UDP
22303122,1528085870.795694,e,udp,192.168.100.148,28452.0,192.168.100.7,80.0,4,240,INT,1528085883.840335,262006,13.044641,4.387928,0.07326,,,8.775857,4.314668,4.461189,,,,,4,0,240,0,0.22998,0.22998,0.0,1,DoS,UDP
23762592,1528086049.621629,e,udp,192.168.100.148,40788,192.168.100.7,80,5,300,INT,1528086067.421385,148495,17.799755,2.87879,2.045515,,,8.63637,0.0,4.56441,,,,,5,0,300,0,0.224722,0.224722,0.0,1,DoS,UDP
23112006,1528085986.104455,e,udp,192.168.100.149,24610,192.168.100.3,80,24,1440,INT,1528086006.549704,22233,20.44525,4.469445,0.498809,,,17.877781,3.636212,4.92759,,,,,24,0,1440,0,1.124956,1.124956,0.0,1,DoS,UDP
22497160,1528085887.319231,e,udp,192.168.100.148,14653,192.168.100.7,80,6,360,INT,1528085923.333456,193883,36.014225,0.880476,1.760952,,,4.402381,0.0,4.402381,,,,,6,0,360,0,0.138834,0.138834,0.0,1,DoS,UDP
23746614,1528086049.288851,e,udp,192.168.100.150,30695,192.168.100.5,80,5,300,INT,1528086068.953857,132517,19.665007,2.620795,1.853849,,,7.862385,0.0,3.992106,,,,,5,0,300,0,0.203407,0.203407,0.0,1,DoS,UDP
22304859,1528085884.282916,e,udp,192.168.100.149,52397.0,192.168.100.3,80.0,17,1020,INT,1528085924.465879,1582,40.182964,3.668231,1.176061,,,22.009388,1.189724,4.811193,,,,,17,0,1020,0,0.398179,0.398179,0.0,1,DoS,UDP
22729630,1528085926.838646,e,udp,192.168.100.148,2650,192.168.100.7,80,5,300,INT,1528085944.263067,164184,17.424421,2.89555,2.047464,,,8.686651,0.0,4.345585,,,,,5,0,300,0,0.229563,0.229563,0.0,1,DoS,UDP
22394882,1528085885.525319,e,udp,192.168.100.149,19434,192.168.100.3,80,17,1020,INT,1528085924.022999,91605,38.497681,3.198427,1.552052,,,19.190563,0.0,4.570244,,,,,17,0,1020,0,0.415609,0.415609,0.0,1,DoS,UDP
21268457,1528085763.661095,e,udp,192.168.100.147,37205,192.168.100.6,80,7,420,INT,1528085799.737446,13853,36.076351,1.740725,2.152838,,,8.703627,0.0,4.824899,,,,,7,0,420,0,0.166314,0.166314,0.0,1,DoS,UDP
23082883,1528085952.884388,e,udp,192.168.100.150,58314,192.168.100.5,80,2,120,INT,1528085956.32049,255275,3.436102,3.436102,0.0,,,3.436102,3.436102,3.436102,,,,,2,0,120,0,0.291027,0.291027,0.0,1,DoS,UDP
22261532,1528085866.311533,e,udp,192.168.100.147,50570,192.168.100.6,80,5,300,INT,1528085883.663738,220416,17.352205,2.88,2.036619,,,8.640001,0.0,4.350414,,,,,5,0,300,0,0.230518,0.230518,0.0,1,DoS,UDP
21846432,1528085824.450246,e,udp,192.168.100.150,56729,192.168.100.5,80,3,180,INT,1528085832.191878,67481,7.741632,1.944872,1.944872,,,3.889745,0.0,3.889745,,,,,3,0,180,0,0.258343,0.258343,0.0,1,DoS,UDP
23406154,1528086007.472496,e,udp,192.168.100.147,45318.0,192.168.100.6,80.0,6,360,INT,1528086039.622464,54220,32.149967,1.867014,1.891554,,,7.468056,0.0,4.163525,,,,,6,0,360,0,0.155521,0.155521,0.0,1,DoS,UDP
21875953,1528085824.956269,e,udp,192.168.100.148,7977,192.168.100.7,80,2,120,INT,1528085829.771981,97002,4.815712,4.815712,0.0,,,4.815712,4.815712,4.815712,,,,,2,0,120,0,0.207654,0.207654,0.0,1,DoS,UDP
21386298,1528085765.434048,e,udp,192.168.100.147,512,192.168.100.6,80,7,420,INT,1528085801.358988,131694,35.924938,1.777375,2.178679,,,8.886877,0.0,4.585287,,,,,7,0,420,0,0.167015,0.167015,0.0,1,DoS,UDP
21899573,1528085825.553104,e,udp,192.168.100.147,36608,192.168.100.6,80,2,120,INT,1528085830.037515,120622,4.484411,4.484411,0.0,,,4.484411,4.484411,4.484411,,,,,2,0,120,0,0.222995,0.222995,0.0,1,DoS,UDP
21468203,1528085766.959908,e,udp,192.168.100.148,35085,192.168.100.7,80,7,420,INT,1528085801.376753,213599,34.416843,1.876937,2.300663,,,9.384684,0.0,4.839938,,,,,7,0,420,0,0.174333,0.174333,0.0,1,DoS,UDP
22363934,1528085885.041763,e,udp,192.168.100.147,8150,192.168.100.6,80,7,420,INT,1528085920.400634,60657,35.358871,1.73892,2.133177,,,8.694601,0.0,4.538873,,,,,7,0,420,0,0.169689,0.169689,0.0,1,DoS,UDP
21286073,1528085763.807888,e,udp,192.168.100.148,62485,192.168.100.7,80,7,420,INT,1528085798.46788,31469,34.659992,1.908222,2.337331,,,9.541111,0.0,4.824177,,,,,7,0,420,0,0.17311,0.17311,0.0,1,DoS,UDP
23873175,1528086052.478718,e,udp,192.168.100.148,14318,192.168.100.7,80,5,300,INT,1528086070.428869,259078,17.950151,3.075444,2.174931,,,9.226331,0.0,4.654626,,,,,5,0,300,0,0.222839,0.222839,0.0,1,DoS,UDP
22867524,1528085947.035853,e,udp,192.168.100.147,23412,192.168.100.6,80,3,180,INT,1528085955.342468,39916,8.306615,2.150429,2.150429,,,4.300857,0.0,4.300857,,,,,3,0,180,0,0.240772,0.240772,0.0,1,DoS,UDP
22226540,1528085865.570477,e,udp,192.168.100.150,29912,192.168.100.5,80,6,360,INT,1528085884.17408,185424,18.603603,3.738037,0.020674,,,11.214109,3.723267,3.767274,,,,,6,0,360,0,0.268765,0.268765,0.0,1,DoS,UDP
22859894,1528085946.966712,e,udp,192.168.100.150,4393,192.168.100.5,80,3,180,INT,1528085957.369603,32286,10.402891,1.640049,1.640049,,,3.280097,0.0,3.280097,,,,,3,0,180,0,0.192254,0.192254,0.0,1,DoS,UDP
22406323,1528085885.569398,e,udp,192.168.100.149,28955,192.168.100.3,80,17,1020,INT,1528085924.097404,103046,38.528008,3.587205,0.577099,,,21.52323,2.663599,4.396221,,,,,17,0,1020,0,0.415282,0.415282,0.0,1,DoS,UDP
21345177,1528085764.55793,e,udp,192.168.100.149,8549,192.168.100.3,80,17,1020,INT,1528085800.86527,90573,36.307339,3.301344,1.577106,,,19.808064,0.0,4.944246,,,,,17,0,1020,0,0.440682,0.440682,0.0,1,DoS,UDP
21204850,1528085743.782479,e,udp,192.168.100.147,3848,192.168.100.6,80,5,300,INT,1528085761.009889,212405,17.227409,2.860618,2.022763,,,8.581854,0.0,4.292674,,,,,5,0,300,0,0.232188,0.232188,0.0,1,DoS,UDP
23126622,1528085986.21543,e,udp,192.168.100.149,33850,192.168.100.3,80,25,1500,INT,1528086006.605239,36849,20.389809,4.458904,0.496432,,,17.835615,3.623492,4.889322,,,,,25,0,1500,0,1.177059,1.177059,0.0,1,DoS,UDP
22836855,1528085946.788488,e,udp,192.168.100.147,19936,192.168.100.6,80,3,180,INT,1528085955.129519,9247,8.341031,2.157843,2.157843,,,4.315686,0.0,4.315686,,,,,3,0,180,0,0.239779,0.239779,0.0,1,DoS,UDP
21362017,1528085764.904066,e,udp,192.168.100.150,38916,192.168.100.5,80,7,420,INT,1528085798.515439,107413,33.611374,1.557013,1.909429,,,7.785064,0.0,4.046527,,,,,7,0,420,0,0.178511,0.178511,0.0,1,DoS,UDP
23763247,1528086049.632762,e,udp,192.168.100.150,35846,192.168.100.5,80,5,300,INT,1528086069.258066,149150,19.625303,2.605054,1.842306,,,7.815161,0.0,3.945122,,,,,5,0,300,0,0.203819,0.203819,0.0,1,DoS,UDP
22461190,1528085886.375301,e,udp,192.168.100.148,4664,192.168.100.7,80,7,420,INT,1528085922.47745,157913,36.10215,1.594943,1.969378,,,7.974713,0.0,4.383232,,,,,7,0,420,0,0.166195,0.166195,0.0,1,DoS,UDP
23946807,1528086071.850567,e,udp,192.168.100.150,2240,192.168.100.5,80,3,180,INT,1528086079.388444,70546,7.537877,1.94351,1.94351,,,3.88702,0.0,3.88702,,,,,3,0,180,0,0.265327,0.265327,0.0,1,DoS,UDP
21319757,1528085764.133043,e,udp,192.168.100.147,46544,192.168.100.6,80,7,420,INT,1528085800.239132,65153,36.106091,1.889072,2.313675,,,9.445358,0.0,4.745224,,,,,7,0,420,0,0.166177,0.166177,0.0,1,DoS,UDP
22724282,1528085926.684164,e,udp,192.168.100.150,58231,192.168.100.5,80,6,360,INT,1528085946.022665,158836,19.338501,3.878808,0.040916,,,11.636425,3.837949,3.934734,,,,,6,0,360,0,0.258552,0.258552,0.0,1,DoS,UDP
23477805,1528086008.96713,e,udp,192.168.100.147,3905,192.168.100.6,80,8,480,INT,1528086046.261496,125871,37.294365,2.366054,1.969485,,,11.830271,0.0,4.600317,,,,,8,0,480,0,0.187696,0.187696,0.0,1,DoS,UDP
22755201,1528085927.47063,e,udp,192.168.100.150,1256,192.168.100.5,80,5,300,INT,1528085942.917092,189755,15.446462,2.559284,1.809688,,,7.677854,0.0,3.840541,,,,,5,0,300,0,0.258959,0.258959,0.0,1,DoS,UDP
21171854,1528085743.283618,e,udp,192.168.100.150,21894,192.168.100.5,80,6,360,INT,1528085760.556135,179409,17.272516,3.456059,0.012828,,,10.368177,3.438472,3.468598,,,,,6,0,360,0,0.289477,0.289477,0.0,1,DoS,UDP
21037591,1528085741.376587,e,udp,192.168.100.148,6027,192.168.100.7,80,5,300,INT,1528085759.587648,45146,18.211061,3.029783,2.142408,,,9.08935,0.0,4.558022,,,,,5,0,300,0,0.219647,0.219647,0.0,1,DoS,UDP
21856161,1528085824.569479,e,udp,192.168.100.148,3545,192.168.100.7,80,2,120,INT,1528085829.362092,77210,4.792613,4.792613,0.0,,,4.792613,4.792613,4.792613,,,,,2,0,120,0,0.208654,0.208654,0.0,1,DoS,UDP
23276711,1528085988.384743,e,udp,192.168.100.147,61940,192.168.100.6,80,5,300,INT,1528086004.305058,186938,15.920315,2.64246,1.868509,,,7.927379,0.0,3.970371,,,,,5,0,300,0,0.251251,0.251251,0.0,1,DoS,UDP
23148162,1528085986.395669,e,udp,192.168.100.148,25069,192.168.100.7,80,5,300,INT,1528086004.555464,58389,18.159796,3.026084,2.140371,,,9.078253,0.0,4.601503,,,,,5,0,300,0,0.220267,0.220267,0.0,1,DoS,UDP
21389410,1528085765.505623,e,udp,192.168.100.150,46729,192.168.100.5,80,7,420,INT,1528085799.022506,134806,33.516884,3.067847,1.828723,,,12.271389,0.0,4.808459,,,,,7,0,420,0,0.179014,0.179014,0.0,1,DoS,UDP
22485426,1528085887.112214,e,udp,192.168.100.150,4072,192.168.100.5,80,7,420,INT,1528085923.573345,182149,36.461132,1.770183,2.184244,,,8.850915,0.0,4.845574,,,,,7,0,420,0,0.164559,0.164559,0.0,1,DoS,UDP
22095602,1528085863.499469,e,udp,192.168.100.149,8492,192.168.100.3,80,24,1440,INT,1528085883.821128,54486,20.321659,3.352039,1.679249,,,16.760193,0.0,4.307678,,,,,24,0,1440,0,1.131797,1.131797,0.0,1,DoS,UDP
22586515,1528085924.787284,e,udp,192.168.100.149,64230,192.168.100.3,80,24,1440,INT,1528085945.660596,21069,20.873312,3.409418,1.708903,,,17.047089,0.0,4.435451,,,,,24,0,1440,0,1.101886,1.101886,0.0,1,DoS,UDP
21846169,1528085824.444465,e,udp,192.168.100.149,59620,192.168.100.3,80,4,240,INT,1528085836.927783,67218,12.483318,4.119983,0.753952,,,8.239966,3.36603,4.873936,,,,,4,0,240,0,0.240321,0.240321,0.0,1,DoS,UDP
23883307,1528086070.729068,e,udp,192.168.100.150,54614,192.168.100.5,80,3,180,INT,1528086078.374045,7046,7.644977,1.871283,1.871283,,,3.742566,0.0,3.742566,,,,,3,0,180,0,0.26161,0.26161,0.0,1,DoS,UDP
21155252,1528085743.082481,e,udp,192.168.100.150,14124.0,192.168.100.5,80.0,6,360,INT,1528085760.350639,162807,17.268158,3.451056,0.019503,,,10.353168,3.423954,3.468944,,,,,6,0,360,0,0.28955,0.28955,0.0,1,DoS,UDP
22847774,1528085946.872231,e,udp,192.168.100.149,53089,192.168.100.3,80,4,240,INT,1528085957.595847,20166,10.723616,3.326112,0.325315,,,6.652224,3.000797,3.651427,,,,,4,0,240,0,0.279756,0.279756,0.0,1,DoS,UDP
23591235,1528086010.833605,e,udp,192.168.100.147,32916,192.168.100.6,80,6,360,INT,1528086038.529808,239301,27.696203,1.863322,1.863414,,,7.45329,0.0,3.752788,,,,,6,0,360,0,0.18053,0.18053,0.0,1,DoS,UDP
