pkSeqID,stime,flgs,proto,saddr,sport,daddr,dport,pkts,bytes,state,ltime,seq,dur,mean,stddev,smac,dmac,sum,min,max,soui,doui,sco,dco,spkts,dpkts,sbytes,dbytes,rate,srate,drate,attack,category,subcategory 
1557323,1526894103.494925,e,udp,192.168.100.147,53211,8.8.8.8,53,2,203,CON,1526894103.638178,2304,0.143253,0.143253,0.0,,,0.143253,0.143253,0.143253,,,,,1,1,64,139,6.980657,0.0,0.0,0,Normal,Normal
1557324,1526894103.638677,e,udp,192.168.100.148,60508,8.8.8.8,53,2,203,CON,1526894103.782321,2305,0.143644,0.143644,0.0,,,0.143644,0.143644,0.143644,,,,,1,1,64,139,6.961655,0.0,0.0,0,Normal,Normal
1557325,1526894103.791775,e,udp,192.168.100.150,43257,8.8.8.8,53,2,227,CON,1526894103.935954,2306,0.144179,0.144179,0.0,,,0.144179,0.144179,0.144179,,,,,1,1,76,151,6.935823,0.0,0.0,0,Normal,Normal
1557326,1526894103.893445,e,udp,192.168.100.149,51762,8.8.8.8,53,2,227,CON,1526894104.03727,2307,0.143825,0.143825,0.0,,,0.143825,0.143825,0.143825,,,,,1,1,76,151,6.952894,0.0,0.0,0,Normal,Normal
1557327,1526894103.936281,e,udp,192.168.100.150,51570,8.8.8.8,53,2,203,CON,1526894103.944058,2308,0.007777,0.007777,0.0,,,0.007777,0.007777,0.007777,,,,,1,1,64,139,128.58429,0.0,0.0,0,Normal,Normal
1557328,1526894103.966973,e,udp,192.168.100.150,48320,8.8.8.8,53,2,227,CON,1526894104.110758,2309,0.143785,0.143785,0.0,,,0.143785,0.143785,0.143785,,,,,1,1,76,151,6.954828,0.0,0.0,0,Normal,Normal
1557329,1526894104.037428,e,udp,192.168.100.149,53728,8.8.8.8,53,2,203,CON,1526894104.045339,2310,0.007911,0.007911,0.0,,,0.007911,0.007911,0.007911,,,,,1,1,64,139,126.406265,0.0,0.0,0,Normal,Normal
1557330,1526894104.068988,e,udp,192.168.100.149,42847,8.8.8.8,53,2,227,CON,1526894104.212958,2311,0.14397,0.14397,0.0,,,0.14397,0.14397,0.14397,,,,,1,1,76,151,6.945891,0.0,0.0,0,Normal,Normal
1557331,1526894104.110973,e,udp,192.168.100.150,56569,8.8.8.8,53,2,203,CON,1526894104.253818,2312,0.142845,0.142845,0.0,,,0.142845,0.142845,0.142845,,,,,1,1,64,139,7.000595,0.0,0.0,0,Normal,Normal
1557332,1526894104.213087,e,udp,192.168.100.149,60599,8.8.8.8,53,2,203,CON,1526894104.221364,2313,0.008277,0.008277,0.0,,,0.008277,0.008277,0.008277,,,,,1,1,64,139,120.816719,0.0,0.0,0,Normal,Normal
1557344,1526894111.03574,e,udp,192.168.100.147,36951,8.8.8.8,53,2,340,CON,1526894111.255065,2331,0.219325,0.219325,0.0,,,0.219325,0.219325,0.219325,,,,,1,1,81,259,4.559443,0.0,0.0,0,Normal,Normal
1557345,1526894111.036723,e,udp,192.168.100.148,40469,8.8.8.8,53,2,340,CON,1526894111.18249,2332,0.145767,0.145767,0.0,,,0.145767,0.145767,0.145767,,,,,1,1,81,259,6.860263,0.0,0.0,0,Normal,Normal
1557355,1526894112.025564,e,udp,192.168.100.150,34190,8.8.8.8,53,2,340,CON,1526894112.1711,2342,0.145536,0.145536,0.0,,,0.145536,0.145536,0.145536,,,,,1,1,81,259,6.871152,0.0,0.0,0,Normal,Normal
1557359,1526894113.018226,e,udp,192.168.100.149,58861,8.8.8.8,53,2,340,CON,1526894113.308776,2346,0.29055,0.29055,0.0,,,0.29055,0.29055,0.29055,,,,,1,1,81,259,3.441748,0.0,0.0,0,Normal,Normal
