
#####################         POISON         ###############################################

############################################################################################

comm_round: 0 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 1 | global_test_acc: 83.333% | global_f1: 0.9090909090909091 | global_precision: 0.8333333333333334

#####################         POISON         ###############################################

############################################################################################

comm_round: 2 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 3 | global_test_acc: 91.667% | global_f1: 0.9565217391304348 | global_precision: 0.9166666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 4 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 5 | global_test_acc: 83.333% | global_f1: 0.9090909090909091 | global_precision: 0.8333333333333334

#####################         POISON         ###############################################

############################################################################################

comm_round: 6 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 7 | global_test_acc: 58.333% | global_f1: 0.7368421052631579 | global_precision: 0.5833333333333334

#####################         POISON         ###############################################

############################################################################################

comm_round: 8 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 9 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 10 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 11 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 12 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 13 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 14 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 15 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 16 | global_test_acc: 83.333% | global_f1: 0.9090909090909091 | global_precision: 0.8333333333333334

#####################         POISON         ###############################################

############################################################################################

comm_round: 17 | global_test_acc: 83.333% | global_f1: 0.9090909090909091 | global_precision: 0.8333333333333334

#####################         POISON         ###############################################

############################################################################################

comm_round: 18 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 19 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 20 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 21 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 22 | global_test_acc: 58.333% | global_f1: 0.7368421052631579 | global_precision: 0.5833333333333334

#####################         POISON         ###############################################

############################################################################################

comm_round: 23 | global_test_acc: 83.333% | global_f1: 0.9090909090909091 | global_precision: 0.8333333333333334

#####################         POISON         ###############################################

############################################################################################

comm_round: 24 | global_test_acc: 83.333% | global_f1: 0.9090909090909091 | global_precision: 0.8333333333333334

#####################         POISON         ###############################################

############################################################################################

comm_round: 25 | global_test_acc: 58.333% | global_f1: 0.7368421052631579 | global_precision: 0.5833333333333334

#####################         POISON         ###############################################

############################################################################################

comm_round: 26 | global_test_acc: 66.667% | global_f1: 0.8 | global_precision: 0.6666666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 27 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 28 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 29 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 30 | global_test_acc: 91.667% | global_f1: 0.9565217391304348 | global_precision: 0.9166666666666666

#####################         POISON         ###############################################

############################################################################################

comm_round: 31 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75

#####################         POISON         ###############################################

############################################################################################

comm_round: 32 | global_test_acc: 75.000% | global_f1: 0.8571428571428571 | global_precision: 0.75
