
	Correct: 5243	Incorrect: 304	normal: 0.918	attack: 0.963	Current Network Accuracy: 0.945 

	Correct: 5203	Incorrect: 344	normal: 0.922	attack: 0.948	Current Network Accuracy: 0.938 

	Correct: 5242	Incorrect: 305	normal: 0.891	attack: 0.979	Current Network Accuracy: 0.945 

	Correct: 135	Incorrect: 80	normal: 0.000	attack: 1.000	Current Network Accuracy: 0.628 

	Correct: 5244	Incorrect: 303	normal: 0.908	attack: 0.969	Current Network Accuracy: 0.945 

	Correct: 5247	Incorrect: 300	normal: 0.902	attack: 0.974	Current Network Accuracy: 0.946 

	Correct: 5252	Incorrect: 295	normal: 0.905	attack: 0.973	Current Network Accuracy: 0.947 

	Correct: 135	Incorrect: 80	normal: 0.000	attack: 1.000	Current Network Accuracy: 0.628 

	Correct: 5237	Incorrect: 310	normal: 0.959	attack: 0.935	Current Network Accuracy: 0.944 

	Correct: 5246	Incorrect: 301	normal: 0.944	attack: 0.947	Current Network Accuracy: 0.946 

	Correct: 5239	Incorrect: 308	normal: 0.904	attack: 0.970	Current Network Accuracy: 0.944 

	Correct: 135	Incorrect: 80	normal: 0.000	attack: 1.000	Current Network Accuracy: 0.628 

	Correct: 5244	Incorrect: 303	normal: 0.884	attack: 0.984	Current Network Accuracy: 0.945 

	Correct: 5238	Incorrect: 309	normal: 0.864	attack: 0.995	Current Network Accuracy: 0.944 

	Correct: 5259	Incorrect: 288	normal: 0.894	attack: 0.982	Current Network Accuracy: 0.948 

	Correct: 135	Incorrect: 80	normal: 0.000	attack: 1.000	Current Network Accuracy: 0.628 

	Correct: 5232	Incorrect: 315	normal: 0.939	attack: 0.946	Current Network Accuracy: 0.943 

	Correct: 5231	Incorrect: 316	normal: 0.858	attack: 0.996	Current Network Accuracy: 0.943 

	Correct: 5238	Incorrect: 309	normal: 0.870	attack: 0.991	Current Network Accuracy: 0.944 

	Correct: 135	Incorrect: 80	normal: 0.000	attack: 1.000	Current Network Accuracy: 0.628 

	Correct: 5237	Incorrect: 310	normal: 0.906	attack: 0.968	Current Network Accuracy: 0.944 

	Correct: 5185	Incorrect: 362	normal: 0.953	attack: 0.923	Current Network Accuracy: 0.935 

	Correct: 5237	Incorrect: 310	normal: 0.942	attack: 0.945	Current Network Accuracy: 0.944 

	Correct: 135	Incorrect: 80	normal: 0.000	attack: 1.000	Current Network Accuracy: 0.628 

	Correct: 5248	Incorrect: 299	normal: 0.934	attack: 0.954	Current Network Accuracy: 0.946 

	Correct: 5241	Incorrect: 306	normal: 0.905	attack: 0.970	Current Network Accuracy: 0.945 

	Correct: 5252	Incorrect: 295	normal: 0.934	attack: 0.955	Current Network Accuracy: 0.947 

	Correct: 135	Incorrect: 80	normal: 0.000	attack: 1.000	Current Network Accuracy: 0.628 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 16642	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 16642	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 16642	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 16642	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 16642	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

	Correct: 1664	Incorrect: 0	normal: -1.000	attack: 1.000	Current Network Accuracy: 1.000 

