pkSeqID,flgs,proto,sport,dport,pkts,bytes,state,seq,dur,mean,stddev,sum,min,max,spkts,dpkts,sbytes,dbytes,rate,srate,drate,TnBPsrcIP,TnBPDstIP,TnPPSrcIP,TnPPDstIP,TnPPerProto,TnPPerDport,avgPD,attack,category,subcategory 
66071,1,5,771.0,1216.0,1,70,6,1597,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,668,1746,8,15,13,2,0.0,0,3,3
1142503,1,5,771.0,1216.0,1,70,6,14069,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,2276,616,16,4,12,4,0.0,0,3,3
66855,1,5,771.0,33538.0,1,70,6,2428,0.0,0.0,0.0,0.0,0.0,0.0,1,0,70,0,0.0,0.0,0.0,1626,3132,13,24,16,7,0.0,0,3,3
799073,1,2,10106.0,7576.0,2,120,5,16,5.3e-05,5.3e-05,0.0,5.3e-05,5.3e-05,5.3e-05,1,1,60,60,18867.92383,0.0,0.0,1895135,2837214,22899,35074,34042,4,37735.84906,0,3,3
1120151,1,2,10899.0,8715.0,2,120,5,3628,5.3e-05,5.3e-05,0.0,5.3e-05,5.3e-05,5.3e-05,1,1,60,60,18867.92383,0.0,0.0,1890795,2819494,22418,35752,31377,2,37735.84906,0,3,3
1122556,1,2,12259.0,9889.0,2,120,5,1872,6.7e-05,6.7e-05,0.0,6.7e-05,6.7e-05,6.7e-05,1,1,60,60,14925.37305,0.0,0.0,1956770,2826997,23439,35578,32126,2,29850.74627,0,3,3
480824,1,2,12906.0,11818.0,2,120,5,3429,5.8e-05,5.8e-05,0.0,5.8e-05,5.8e-05,5.8e-05,1,1,60,60,17241.37891,0.0,0.0,1935532,2828420,23396,35818,31930,2,34482.75862,0,3,3
481099,1,2,13790.0,11890.0,2,120,5,3718,5.2e-05,5.2e-05,0.0,5.2e-05,5.2e-05,5.2e-05,1,1,60,60,19230.76953,0.0,0.0,1907793,2841511,22563,35385,32959,6,38461.53846,0,3,3
31700,1,2,1822.0,920.0,5,300,5,3034,0.004915,0.004915,0.0,0.004915,0.004915,0.004915,2,3,120,180,813.835205,203.458801,406.917603,1920803,2821816,22919,35379,32529,2,1017.293998,0,3,3
31707,1,2,1822.0,935.0,5,300,5,3041,0.005275,0.005275,0.0,0.005275,0.005275,0.005275,2,3,120,180,758.293884,189.573471,379.146942,1916537,2831275,22742,35379,32922,2,947.8672986,0,3,3
24177,1,2,2262.0,1.0,2,120,5,253,5e-05,5e-05,0.0,5e-05,5e-05,5e-05,1,1,60,60,20000.0,0.0,0.0,1916877,2824778,22917,34761,34353,16,40000.0,0,3,3
48736,1,2,2383.0,33844.0,2,134,5,20476,0.0,1.2e-05,1.2e-05,2.4e-05,0.0,2.4e-05,2,0,134,0,0.0,0.0,0.0,1566,1292,12,9,31875,4,0.0,0,3,3
1099256,1,2,2387.0,17.0,2,120,5,279702,6.4e-05,6.4e-05,0.0,6.4e-05,6.4e-05,6.4e-05,1,1,60,60,15625.0,0.0,0.0,1933256,2840847,23219,35750,32377,8,31250.0,0,3,3
782481,1,2,2432.0,1319.0,2,120,5,2667,7.8e-05,7.8e-05,0.0,7.8e-05,7.8e-05,7.8e-05,1,1,60,60,12820.51367,0.0,0.0,1934576,2823628,23036,35807,31487,5,25641.02564,0,3,3
778138,1,2,2579.0,49.0,2,120,5,278869,5e-05,5e-05,0.0,5e-05,5e-05,5e-05,1,1,60,60,20000.0,0.0,0.0,1952816,2818074,23499,35791,31634,2,40000.0,0,3,3
24094,1,2,2616.0,1.0,2,120,5,164,5.5e-05,5.5e-05,0.0,5.5e-05,5.5e-05,5.5e-05,1,1,60,60,18181.81836,0.0,0.0,1848196,2833921,21941,34784,34304,11,36363.63636,0,3,3
28387,1,2,2974.0,1.0,2,120,5,4692,3.1e-05,3.1e-05,0.0,3.1e-05,3.1e-05,3.1e-05,1,1,60,60,32258.06445,0.0,0.0,1917245,2850964,22841,35625,32805,10,64516.12903,0,3,3
1101526,1,2,3506.0,1322.0,2,120,5,2032,5.2e-05,5.2e-05,0.0,5.2e-05,5.2e-05,5.2e-05,1,1,60,60,19230.76953,0.0,0.0,1892984,2828138,22732,35039,33304,7,38461.53846,0,3,3
1391801,1,2,35063.0,16501.0,2,120,5,248027,0.016778,0.016778,0.0,0.016778,0.016778,0.016778,1,1,60,60,59.60186,0.0,0.0,1913424,2841285,23181,35900,31574,5,119.2037192,0,3,3
