Communication Round,Accuracy,F1 Score,Precision,Binary Accuracy,wv
0,0.62828,0.771928484,0.629000125,0.641269088,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
1,0.98448,0.989462281,0.985579753,0.987140954,"[0.86170359 0.86170359 1.         1.         1.         1.
 1.         1.         1.         1.        ]"
2,0.98024,0.986485163,0.977202173,0.983415484,"[1.         0.75150511 0.69360775 1.         0.45644937 0.69360775
 0.45644937 0.70576155 0.93318359 1.        ]"
3,0.98673,0.990077611,0.983795392,0.987862051,"[0.96022556 0.82849042 1.         0.66655874 0.66655874 1.
 0.8133892  1.         1.         0.89166893]"
4,0.97996,0.98591687,0.975328947,0.982694387,"[0.83812723 1.         1.         0.96141501 1.         1.
 1.         1.         0.2059587  0.2059587 ]"
5,0.96133,0.972719811,0.950552043,0.966049731,"[0.55782613 0.27164884 0.27164884 0.90486256 1.         0.95131197
 0.31557439 0.82097104 0.66769863 0.57324877]"
6,0.88273,0.913100575,0.842342719,0.884689331,"[0.42180344 1.         1.         0.46620827 0.44326877 0.28118613
 1.         0.77437108 0.28118613 0.49728528]"
7,0.98617,0.990222572,0.984178142,0.988042295,"[1.         1.         0.93138513 1.         0.88177177 1.
 1.         1.         1.         0.88177177]"
8,0.97657,0.982601491,0.968861124,0.978548229,"[0.13563541 1.         1.         0.35445851 1.         1.
 0.13563541 1.         1.         1.        ]"
9,0.59314,0.756309444,0.608666827,0.608941257,"[0.30431151 0.38634171 0.         0.30240331 0.         0.
 0.         0.         0.12693122 1.        ]"
10,0.97911,0.986107006,0.982717989,0.983054936,"[1.         1.         0.77365371 1.         1.         1.
 1.         1.         0.77365371 1.        ]"
11,0.87412,0.905969744,0.83592444,0.875255406,"[0.         1.         0.         1.         0.33567569 0.
 0.52550567 0.58476034 0.45547012 1.        ]"
12,0.7718,0.843914121,0.733761964,0.776769638,"[0.         1.         0.29651937 0.44936503 0.41798119 0.
 0.         0.         1.         0.72157244]"
13,0.98631,0.990511021,0.990217391,0.988462925,"[1.         1.         1.         1.         1.         1.
 0.92337133 1.         1.         0.92337133]"
14,0.988,0.99206623,0.988898713,0.990325689,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
15,0.98561,0.989449924,0.982172431,0.987080872,"[1.         0.95456803 0.47833126 1.         0.47833126 0.80560063
 0.86258883 0.73521721 1.         1.        ]"
16,0.59131,0.756017342,0.607739454,0.607739449,[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.]
17,0.66822,0.790099243,0.654854022,0.678464115,"[0.37060744 0.52335777 1.         0.         0.01607521 1.
 0.         0.06324423 0.61887227 1.        ]"
18,0.97968,0.985397512,0.9800489,0.982153594,"[1.         0.72910346 1.         1.         1.         0.72910346
 1.         1.         1.         1.        ]"
19,0.92831,0.945697735,0.902958899,0.930717468,"[0.29330602 1.         0.62681989 0.13994275 0.13994275 0.70955047
 0.35817652 0.98410974 1.         0.17468417]"
20,0.98688,0.991274341,0.988496706,0.989364266,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
21,0.74965,0.815066323,0.751732777,0.754536688,"[0.18477627 0.         0.80463107 0.         1.         0.12747115
 0.         0.14981287 0.59578121 0.        ]"
22,0.97784,0.984064913,0.973124517,0.980410993,"[0.93887534 1.         1.         0.59011956 1.         1.
 0.39139361 0.59011956 0.39139361 1.        ]"
23,0.97686,0.983282156,0.969624147,0.979389489,"[0.92986756 0.99882752 1.         0.28638039 0.55698411 0.92986756
 1.         1.         1.         0.28638039]"
24,0.7241,0.812973705,0.710953122,0.734587193,"[0.08569744 1.         0.         0.         0.         1.
 0.         0.         0.05878576 0.3435633 ]"
,0.8850972,0.924428625,0.878349309,0.889878621,
