Communication Round,Accuracy,F1 Score,Precision,Binary Accuracy,WV
0,0.61812,0.79260826,0.658649399,0.664162934,"[0.87917224 1.         0.71923898 0.05897372 1.         0.85517392
 1.         1.         0.51084722 0.05897372]"
1,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
2,0.59131,0.784190532,0.644994592,0.644994617,"[0.08343696 0.73910498 0.         1.         0.12667798 0.
 0.58979459 0.         0.         0.        ]"
3,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
4,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
5,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
6,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
7,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
8,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
9,0.59131,0.784190532,0.644994592,0.644994617,"[1.         1.         0.83567578 1.         1.         1.
 1.         0.         0.         0.        ]"
10,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
11,0.59131,0.784190532,0.644994592,0.644994617,"[0.85842827 0.70988631 1.         0.56246344 0.63533604 1.
 0.97169406 0.         0.         0.        ]"
12,0.59131,0.784190532,0.644994592,0.644994617,"[1.         1.         0.80558088 0.92696146 1.         0.88387646
 1.         0.         0.         0.        ]"
13,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
14,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
15,0.59131,0.784190532,0.644994592,0.644994617,"[0.9412645  0.87345933 1.         0.9518479  0.18693039 0.98261957
 1.         0.         0.         0.        ]"
16,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
17,0.59131,0.784190532,0.644994592,0.644994617,"[1.         1.         1.         1.         0.86683725 1.
 1.         0.         0.         0.        ]"
18,0.59131,0.784190532,0.644994592,0.644994617,"[1.         0.99154175 0.72219281 1.         1.         1.
 1.         0.         0.         0.        ]"
19,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
20,0.59131,0.784190532,0.644994592,0.644994617,"[1.         0.46670878 0.87565623 1.         0.8212921  0.89657023
 1.         0.         0.         0.        ]"
21,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
22,0.59131,0.784190532,0.644994592,0.644994617,"[1.         0.9935759  0.49359535 0.9154386  0.83318089 0.44206326
 1.         0.         0.         0.        ]"
23,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
24,0.59131,0.784190532,0.644994592,0.644994617,[1. 1. 1. 1. 1. 1. 1. 0. 0. 0.]
