epochs,accuracy,nmi,ari,testAcc,nmi_test,ari_test
0,0.58559,0.04849,0.01567,0.57329,0.04473,0.01231
1,0.6052,0.08164,0.03197,0.59206,0.07783,0.02553
2,0.63804,0.11874,0.06628,0.6268,0.11901,0.05752
3,0.67367,0.152,0.11322,0.66279,0.14818,0.1009
4,0.70511,0.19494,0.1625,0.69319,0.18805,0.14524
5,0.83341,0.40009,0.4433,0.82674,0.39311,0.42608
6,0.86791,0.46969,0.54071,0.86319,0.46088,0.52713
7,0.8733,0.477,0.55679,0.86971,0.47011,0.54631
8,0.87389,0.47844,0.55858,0.87079,0.47295,0.54954
9,0.87522,0.48094,0.56259,0.87126,0.47321,0.55093
10,0.87961,0.48894,0.57591,0.87374,0.47571,0.55836
11,0.88094,0.49324,0.57996,0.87498,0.4792,0.56208
12,0.88373,0.49923,0.58854,0.87917,0.48822,0.57475
13,0.88599,0.50523,0.59552,0.88119,0.49372,0.58089
14,0.88726,0.50557,0.59946,0.88367,0.49791,0.58851
15,0.88865,0.50905,0.60381,0.88537,0.50317,0.59377
16,0.88859,0.51227,0.60357,0.88429,0.50154,0.59041
17,0.89045,0.51501,0.60941,0.88646,0.50641,0.59712
18,0.89058,0.51527,0.60982,0.88754,0.50944,0.60049
19,0.88932,0.51807,0.60582,0.88537,0.508,0.59374
20,0.88865,0.51799,0.60374,0.88506,0.50991,0.59277
21,0.89164,0.52063,0.61314,0.8877,0.511,0.60097
22,0.89105,0.52114,0.61125,0.88661,0.50965,0.59759
23,0.88918,0.51936,0.6054,0.88615,0.51237,0.59613
24,0.89211,0.5231,0.6146,0.8877,0.51195,0.60096
25,0.89231,0.52342,0.61522,0.88832,0.51331,0.60289
26,0.89317,0.52541,0.61795,0.88956,0.5163,0.60676
27,0.89337,0.52544,0.61858,0.88987,0.51711,0.60773
28,0.89297,0.52603,0.61731,0.8891,0.51629,0.6053
29,0.89424,0.52648,0.62132,0.89096,0.51859,0.61113
30,0.89277,0.5277,0.61667,0.8891,0.51883,0.60529
31,0.89503,0.52864,0.62385,0.89111,0.519,0.61162
32,0.89543,0.5305,0.62511,0.89127,0.52031,0.6121
33,0.89523,0.53219,0.62446,0.89018,0.51887,0.60869
34,0.89523,0.53035,0.62447,0.89111,0.52036,0.61161
35,0.89523,0.53229,0.62446,0.89065,0.52033,0.61015
36,0.89703,0.53317,0.63019,0.89328,0.52434,0.61845
37,0.8965,0.53021,0.62851,0.89344,0.5237,0.61894
38,0.89577,0.53501,0.62614,0.89065,0.52181,0.61014
39,0.8965,0.53408,0.62848,0.89235,0.52364,0.61551
40,0.89577,0.53601,0.62613,0.89142,0.52512,0.61257
41,0.89577,0.53681,0.62612,0.8922,0.52848,0.615
42,0.8955,0.53692,0.62527,0.89189,0.52905,0.61402
43,0.89703,0.53726,0.63016,0.89313,0.52759,0.61794
44,0.8961,0.53852,0.62717,0.89235,0.53026,0.61548
45,0.89663,0.53925,0.62887,0.89282,0.5301,0.61695
46,0.89756,0.5385,0.63186,0.89437,0.53212,0.62185
47,0.89749,0.54102,0.63163,0.8939,0.53323,0.62037
48,0.89862,0.53972,0.63527,0.89592,0.53457,0.62677
49,0.89776,0.54196,0.63247,0.89452,0.53513,0.62233
50,0.89909,0.53784,0.63678,0.89623,0.53188,0.62777
51,0.89709,0.5435,0.63033,0.89468,0.54044,0.6228
52,0.89856,0.54281,0.63503,0.89437,0.53262,0.62185
53,0.89882,0.53951,0.63591,0.89546,0.53239,0.6253
54,0.89902,0.5454,0.63651,0.89577,0.53789,0.62626
55,0.89876,0.53932,0.6357,0.89561,0.53281,0.62579
56,0.89789,0.54232,0.6329,0.89406,0.53284,0.62087
57,0.89942,0.54583,0.63779,0.8953,0.53561,0.62479
58,0.89902,0.54678,0.6365,0.89546,0.53897,0.62527
59,0.90068,0.54855,0.64185,0.89685,0.53951,0.62972
60,0.89942,0.54402,0.6378,0.89452,0.53106,0.62235
61,0.90015,0.54917,0.64013,0.89639,0.54008,0.62823
62,0.89902,0.54302,0.63653,0.89483,0.53261,0.62333
63,0.90002,0.54368,0.63974,0.89608,0.53429,0.62727
64,0.90082,0.55044,0.64227,0.89701,0.54121,0.63021
65,0.89949,0.54145,0.63804,0.89577,0.533,0.62628
66,0.89975,0.54831,0.63885,0.89639,0.54116,0.62823
67,0.89949,0.54472,0.63801,0.89654,0.53868,0.62873
68,0.90029,0.5482,0.64056,0.89747,0.54169,0.63169
69,0.90088,0.55029,0.64248,0.89763,0.54288,0.63218
70,0.90201,0.55152,0.64613,0.89995,0.54893,0.63962
71,0.89929,0.5447,0.63737,0.89608,0.5382,0.62725
72,0.89856,0.54781,0.635,0.89592,0.5437,0.62673
73,0.89809,0.5439,0.63353,0.89577,0.54035,0.62625
74,0.90102,0.55201,0.6429,0.8984,0.54712,0.63465
75,0.90175,0.54948,0.64529,0.89902,0.54514,0.63664
76,0.90055,0.54674,0.64143,0.89732,0.54002,0.6312
77,0.90195,0.55228,0.64591,0.89871,0.54556,0.63565
78,0.90168,0.5508,0.64506,0.89856,0.54488,0.63515
79,0.90075,0.54906,0.64206,0.8984,0.54576,0.63465
80,0.90235,0.55185,0.64721,0.89887,0.54472,0.63615
81,0.90467,0.55463,0.65477,0.90181,0.55006,0.64561
82,0.90155,0.55064,0.64463,0.89747,0.54246,0.63169
83,0.90314,0.5548,0.64978,0.89918,0.54606,0.63714
84,0.90255,0.55251,0.64785,0.89856,0.54388,0.63516
85,0.90294,0.55275,0.64915,0.89685,0.53616,0.62973
86,0.90381,0.55637,0.65194,0.89933,0.54624,0.63763
87,0.90368,0.5554,0.65151,0.89871,0.54332,0.63566
88,0.90281,0.55228,0.64872,0.89809,0.54023,0.63368
89,0.90474,0.55852,0.65496,0.89995,0.54672,0.63963
90,0.90534,0.55984,0.6569,0.90042,0.54848,0.64112
91,0.90401,0.55586,0.65259,0.89887,0.54327,0.63615
92,0.9068,0.56164,0.66168,0.90337,0.55575,0.65061
93,0.90135,0.55225,0.64398,0.8984,0.54824,0.63464
94,0.90361,0.55704,0.65128,0.90057,0.55193,0.6416
95,0.90394,0.55777,0.65236,0.90119,0.55389,0.64359
96,0.90673,0.56376,0.66145,0.9015,0.55124,0.64461
97,0.90467,0.55804,0.65474,0.89918,0.54412,0.63714
98,0.90693,0.56529,0.66209,0.90383,0.5599,0.6521
99,0.90308,0.55533,0.64956,0.90042,0.5515,0.6411
100,0.90487,0.5604,0.65538,0.9015,0.55448,0.64459
101,0.90467,0.55973,0.65473,0.90073,0.55131,0.6421
102,0.90388,0.55973,0.65213,0.89964,0.5513,0.63861
103,0.90401,0.55869,0.65257,0.90088,0.55384,0.64259
104,0.90713,0.56636,0.66274,0.90306,0.55799,0.6496
105,0.90414,0.55771,0.65301,0.90119,0.55259,0.6436
106,0.90707,0.56539,0.66253,0.90275,0.55541,0.6486
107,0.90766,0.56573,0.66449,0.90414,0.55816,0.65312
108,0.90733,0.56597,0.6634,0.90306,0.55603,0.6496
109,0.9066,0.56385,0.66101,0.90166,0.55121,0.64511
110,0.90587,0.56314,0.65862,0.9029,0.55781,0.64909
111,0.9076,0.56608,0.66427,0.90321,0.55577,0.65011
112,0.9058,0.56305,0.6584,0.90306,0.55876,0.64959
113,0.90554,0.56129,0.65754,0.90197,0.55349,0.6461
114,0.90806,0.56847,0.66578,0.9043,0.56071,0.65361
115,0.90587,0.56146,0.65863,0.9015,0.55124,0.64461
116,0.90607,0.56271,0.65927,0.90181,0.55234,0.6456
117,0.9074,0.56683,0.66361,0.90337,0.55762,0.6506
118,0.90527,0.56311,0.65666,0.90275,0.55977,0.64858
119,0.90753,0.56821,0.66404,0.90414,0.56127,0.65311
120,0.90487,0.5605,0.65538,0.90259,0.55747,0.64809
121,0.90521,0.56239,0.65645,0.90244,0.5581,0.64759
122,0.907,0.56771,0.66229,0.90399,0.56293,0.6526
123,0.90973,0.56906,0.67126,0.90724,0.56571,0.66321
124,0.90487,0.56081,0.65537,0.90197,0.55628,0.64609
125,0.90288,0.55843,0.6489,0.89887,0.55035,0.63613
126,0.90328,0.55931,0.65019,0.89918,0.55032,0.63712
127,0.90321,0.55889,0.64997,0.89918,0.55061,0.63712
128,0.90567,0.56637,0.65795,0.90244,0.56061,0.64758
129,0.91019,0.57604,0.67275,0.90724,0.57128,0.66318
130,0.9058,0.56336,0.6584,0.9029,0.55833,0.64909
131,0.90634,0.56571,0.66013,0.90321,0.56078,0.65009
132,0.90501,0.56067,0.65581,0.90259,0.55773,0.64809
133,0.9056,0.56427,0.65774,0.90306,0.56118,0.64958
134,0.91059,0.57605,0.67407,0.90802,0.57273,0.66572
135,0.90494,0.56174,0.65559,0.90135,0.55539,0.64409
136,0.90973,0.57438,0.67123,0.90647,0.56832,0.66066
137,0.90507,0.56097,0.65602,0.90275,0.55842,0.64859
138,0.90647,0.56695,0.66056,0.90321,0.56133,0.65009
139,0.91032,0.57643,0.67319,0.90647,0.56807,0.66066
140,0.90687,0.56671,0.66186,0.90414,0.56309,0.6531
141,0.90933,0.57322,0.66992,0.906,0.56675,0.65915
142,0.9062,0.56619,0.65969,0.90306,0.5609,0.64958
143,0.90627,0.56704,0.6599,0.90306,0.56146,0.64958
144,0.90806,0.57036,0.66577,0.90492,0.56395,0.65562
145,0.90693,0.56679,0.66208,0.90352,0.56005,0.6511
146,0.90786,0.56947,0.66512,0.90507,0.56464,0.65612
147,0.90693,0.56816,0.66207,0.90445,0.56449,0.6541
148,0.90992,0.57586,0.67188,0.90678,0.57022,0.66167
149,0.90926,0.57205,0.6697,0.90631,0.56713,0.66016
150,0.90933,0.57331,0.66992,0.90569,0.56613,0.65814
151,0.9076,0.5685,0.66425,0.90445,0.56239,0.65411
152,0.9062,0.56597,0.65969,0.90383,0.56388,0.65209
153,0.91205,0.58172,0.67889,0.90988,0.57883,0.67182
154,0.906,0.56562,0.65904,0.90383,0.56416,0.65209
155,0.91099,0.57771,0.67538,0.90817,0.57318,0.66623
156,0.90667,0.56885,0.6612,0.9043,0.56631,0.65359
157,0.9078,0.57096,0.66489,0.90569,0.56905,0.65813
158,0.91099,0.57809,0.67538,0.90817,0.57343,0.66623
159,0.90667,0.56666,0.66121,0.90461,0.56492,0.65461
160,0.90647,0.56874,0.66054,0.90352,0.56417,0.65108
161,0.91066,0.57872,0.67428,0.90709,0.57136,0.66268
162,0.9074,0.56918,0.66359,0.90461,0.56465,0.65461
163,0.91192,0.579,0.67846,0.91112,0.58121,0.6759
164,0.90607,0.56784,0.65924,0.90306,0.56289,0.64958
165,0.90826,0.57241,0.66642,0.90585,0.56948,0.65863
166,0.9078,0.57075,0.6649,0.90476,0.56563,0.65511
167,0.91072,0.5784,0.6745,0.90771,0.57312,0.6647
168,0.9084,0.57132,0.66686,0.90569,0.5669,0.65813
169,0.91019,0.57634,0.67275,0.90631,0.56788,0.66015
170,0.91185,0.57989,0.67824,0.90957,0.57719,0.6708
171,0.90534,0.56485,0.65687,0.90244,0.5609,0.64758
172,0.906,0.56848,0.65902,0.90275,0.56233,0.64858
173,0.907,0.57059,0.66228,0.90321,0.56302,0.65008
